Name,Dist,logMstar,logMHIh,logMHIa,ReffK,RHI,Vrot,jHI,jstar,jbary,logq,lambda,H/c,n_H/c
ESO111-G014,111.976504172166997,10.5,10.7,10.6,6.0,49.6,204.4,6061.9572043882099,801.41079591278196,4125.5601199505300,-0.84,0.06,H,
ESO243-G002,128.868125271635989,10.7,10.8,10.7,7.2,55.6,166.5,5299.7422249810497,1114.54079545358991,3523.7549615698099,-0.82,0.05,H,
NGC289,23.063845673626801,10.5,10.4,10.5,2.9,86.9,191.0,9597.4287161728607,885.67534640747499,5453.1340801432698,-0.59,0.10,H,
ESO245-G010,81.692670178469797,10.5,10.3,10.5,6.2,50.9,192.4,6435.2859447203000,804.94141163265999,4092.3765458458201,-0.63,0.07,H,
ESO417-G018,67.354274865734993,10.3,10.6,10.4,5.7,45.5,173.9,4899.8993033142797,878.16524938953398,3522.7473990819699,-0.74,0.08,H,
ESO055-G013,104.984741754785006,10.2,10.5,10.3,2.3,41.0,196.8,5831.1680417811203,247.75595593473699,3749.7573419794899,-0.68,0.10,H,
ESO208-G026,39.723434545826301,9.8,9.8,9.9,1.8,28.8,143.1,3047.1758052915302,181.43931715469401,1992.9834737351100,-0.45,0.10,H,
ESO378-G003,40.558100712273898,10.1,10.3,10.3,4.8,44.3,134.8,4342.2075305531898,726.42715023608400,3196.7229555558501,-0.51,0.09,H,
ESO381-G005,80.042556077818205,10.1,10.4,10.4,3.3,37.8,122.4,4387.4383438813402,315.22444345372998,3388.1502188829500,-0.47,0.08,H,
ESO461-G010,98.260213280202095,10.1,10.7,10.3,4.0,23.7,153.9,9157.4010020427395,671.03750229402499,6377.8454558843096,-0.31,0.17,H,
ESO075-G006,153.938043061422007,10.6,10.8,10.9,3.8,94.0,217.5,13167.5428060269005,910.80696057405498,9763.9895069044505,-0.76,0.11,H,
ESO290-G035,84.496869459577695,10.5,10.4,10.5,5.3,36.3,181.6,6905.1451833282499,906.99870976496300,4117.6756410646203,-0.74,0.08,H,
NGC685,17.970829197577501,9.0,9.6,9.6,5.4,16.1,127.7,1357.2600648113701,337.06129470988702,820.9924098976780,-0.70,0.05,c,
ESO121-G026,29.644084766024601,10.3,10.0,9.6,3.4,21.5,200.7,2889.0308542173998,549.00863761061396,1041.3301852153700,-1.14,0.04,c,
ESO123-G023,38.629751736376903,10.0,9.9,10.0,3.7,30.0,157.8,3617.6003590163600,300.30635170467502,2193.1015362044200,-0.59,0.09,c,
NGC3001,32.142885932873099,10.7,10.0,9.8,3.9,30.9,249.6,4385.9818669116203,934.24307839766595,1469.0974826917300,-1.21,0.03,c,
ESO263-G015,33.131456221123003,10.3,9.6,9.8,5.9,22.5,159.3,3295.4531434133501,2076.14211055420992,2447.9410215207399,-0.72,0.08,c,
NGC3261,33.586834113402197,10.8,10.2,10.0,4.5,30.8,349.4,6196.9388293497504,1376.97412443240000,2252.0341896203799,-1.14,0.04,c,
NGC5161,32.225253698656097,10.6,10.3,10.3,6.0,41.6,175.0,4260.9972221960898,1028.62019300348993,2294.7693648192198,-0.91,0.05,c,
ESO383-G005,50.200359131493101,10.6,9.7,9.7,4.1,23.8,207.0,5013.4494902686401,1519.77642419110998,2035.6356633429600,-1.01,0.05,c,
ESO287-G013,38.716651675905297,10.5,10.2,10.2,4.4,35.1,175.5,3845.3577114319901,902.85972988469996,2095.3871235621300,-0.78,0.05,c,
ESO240-G011,40.124797541848103,10.8,10.5,9.8,5.7,38.3,266.0,8702.7923065121104,3471.88500472640999,4095.8233466633801,-0.86,0.07,c,
IC4857,66.503108780328006,10.5,10.5,10.0,7.9,29.1,154.6,3723.1937295009102,1149.05019928687989,1907.1337324981300,-0.92,0.05,c,(previouslyH)

