r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.32 24.40 3.74 0.00
0.64 43.30 3.45 20.72
0.96 45.50 3.15 30.54
1.28 58.50 3.16 44.49
1.61 68.80 3.21 63.53
1.93 76.90 3.31 84.92
2.24 82.00 3.42 107.27
2.57 86.90 3.61 132.54
2.89 97.60 3.83 160.86
3.21 100.00 4.05 191.36
3.54 107.00 4.28 224.38
3.85 113.00 4.41 257.63
4.17 117.00 4.50 292.86
4.50 119.00 4.59 328.80
4.82 127.00 4.69 365.35
5.15 132.00 4.77 405.61
5.46 134.00 4.82 443.66
5.78 137.00 4.88 482.80
6.10 140.00 4.92 522.30
6.43 142.00 4.95 563.06
6.74 144.00 4.95 601.11
7.06 146.00 4.94 640.25
8.04 147.00 4.82 755.03
9.04 148.00 4.81 865.92
10.04 152.00 4.62 975.30
11.04 155.00 4.39 1084.14
12.05 156.00 4.49 1195.50
14.05 157.00 3.70 1399.43
16.07 153.00 3.04 1574.32
18.13 153.00 2.97 1746.00
20.05 154.00 2.81 1913.04
22.12 153.00 2.27 2081.06
24.03 150.00 2.26 2228.06
26.10 149.00 2.05 2385.71
28.16 148.00 1.59 2526.10
30.08 146.00 1.22 2634.81
32.14 147.00 0.94 2734.19
34.06 148.00 0.65 2811.95
36.12 148.00 0.45 2877.97
38.19 149.00 0.29 2929.17
40.10 150.00 0.21 2966.19
42.17 150.00 0.15 2999.12
44.08 149.00 0.11 3023.78
