r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.13 232.00 4.21 0.00
0.25 233.00 4.21 48.64
0.38 234.00 4.22 66.72
0.51 235.00 4.22 85.73
0.63 236.00 4.23 103.78
0.76 237.00 4.23 123.82
0.89 238.00 4.24 144.18
1.01 239.00 4.24 163.17
1.14 240.00 4.25 184.00
1.27 240.00 4.25 204.88
1.39 241.00 4.26 224.24
1.52 242.00 4.26 245.42
1.65 242.00 4.27 266.66
1.77 243.00 4.27 286.32
1.90 244.00 4.28 307.83
2.03 244.00 4.29 329.41
2.16 244.00 4.29 350.91
2.28 245.00 4.30 370.83
2.41 245.00 4.30 392.49
2.54 246.00 4.31 414.22
2.66 246.00 4.31 434.34
2.79 246.00 4.32 456.08
2.92 247.00 4.32 477.92
3.04 247.00 4.33 498.14
3.17 247.00 4.33 520.00
3.30 247.00 4.33 541.80
3.42 247.00 4.33 561.88
3.55 248.00 4.33 583.71
3.68 248.00 4.33 605.62
3.80 248.00 4.33 625.80
3.93 248.00 4.33 647.63
4.06 248.00 4.33 669.41
4.18 248.00 4.33 689.49
4.31 248.00 4.33 711.22
4.44 248.00 4.33 732.92
4.56 248.00 4.33 752.94
4.69 248.00 4.33 774.60
4.82 248.00 4.34 796.28
4.94 248.00 4.34 816.29
4.99 248.00 4.34 824.62
5.07 248.00 4.34 837.94
5.20 248.00 4.34 859.59
5.45 247.00 4.34 900.95
5.58 247.00 4.34 922.32
5.70 247.00 4.34 942.04
5.83 247.00 4.34 963.40
6.47 247.00 4.34 1069.07
6.59 246.00 4.33 1088.64
6.66 246.00 4.32 1099.96
6.72 246.00 4.32 1109.65
6.85 246.00 4.30 1130.63
6.97 246.00 4.29 1149.94
7.10 246.00 4.27 1170.81
7.23 246.00 4.25 1191.62
8.32 246.00 4.12 1365.63
10.00 245.00 3.91 1628.70
11.61 245.00 3.59 1871.07
13.35 246.00 3.28 2126.21
14.98 245.00 3.12 2362.87
16.61 245.00 2.97 2599.03
18.34 245.00 2.84 2850.41
19.97 245.00 2.71 3086.94
21.60 245.00 2.52 3319.18
23.33 244.00 2.31 3556.43
26.70 243.00 1.82 3977.59
29.95 239.00 1.45 4335.78
33.32 231.00 1.25 4670.07
36.68 219.00 1.07 4967.14
39.94 210.00 0.96 5225.62
43.30 210.00 0.92 5494.95
46.67 212.00 0.87 5787.76
49.92 213.00 0.76 6075.42
53.29 218.00 0.64 6365.57
