# r[kpc] vrot[km/s] Sigma_HI [Msun/pc2], jHI [kpc km/s]
0.27 10.29 2.78 0.00
0.54 13.89 2.97 6.00
0.81 19.18 3.24 10.17
1.08 24.36 3.50 15.95
1.35 27.27 3.39 22.26
1.61 29.57 3.27 28.51
1.88 31.44 3.10 35.16
2.15 33.92 2.79 41.98
2.42 36.06 2.53 49.00
2.69 38.35 2.29 56.27
2.96 41.11 2.12 63.99
3.23 43.02 2.00 72.18
3.50 44.51 1.90 80.66
3.77 44.89 1.81 89.16
4.04 45.71 1.60 97.29
4.31 46.08 1.34 104.69
4.57 46.66 1.12 111.06
4.84 45.96 0.94 116.93
5.11 45.88 0.82 122.20
5.38 45.26 0.76 127.22
5.65 44.96 0.70 132.09
5.92 45.24 0.64 136.87
6.19 45.24 0.58 141.55
6.46 45.30 0.50 145.98
6.73 46.50 0.42 150.11
7.00 45.86 0.37 153.97
