r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
1.00 170.99 2.09 0.00
1.17 175.84 2.18 190.09
1.34 165.03 2.34 203.38
1.50 170.96 2.26 216.84
1.67 178.14 2.20 235.14
1.84 173.85 2.58 254.90
2.00 172.66 2.97 273.84
2.17 182.35 3.22 297.07
2.34 185.67 3.38 322.50
2.50 188.43 3.44 346.35
2.67 196.53 3.53 372.98
2.84 196.09 3.72 400.32
3.01 203.50 3.96 429.00
3.17 203.20 4.15 456.87
3.34 203.70 4.28 485.60
3.51 203.58 4.47 513.70
3.67 204.03 4.47 539.36
3.84 204.74 4.26 565.14
4.01 205.70 4.13 589.67
4.17 203.77 4.04 611.66
4.34 204.43 3.96 634.18
4.51 204.16 3.88 656.32
4.68 205.69 3.74 678.13
4.84 201.56 3.63 697.69
5.01 201.24 3.59 717.57
5.18 200.94 3.51 737.31
5.34 200.97 3.45 755.76
5.51 198.90 3.37 774.94
5.68 199.80 3.20 793.58
5.84 201.91 3.06 811.06
6.01 200.44 2.99 829.49
6.18 198.73 2.92 847.44
6.35 196.63 2.87 864.88
6.51 194.84 2.84 880.93
6.68 194.56 2.82 897.94
6.85 193.51 2.79 915.00
7.01 193.44 2.79 931.16
7.18 191.74 2.79 948.42
7.35 193.72 2.79 966.06
7.51 193.29 2.81 983.19
7.68 194.54 2.77 1001.71
7.85 196.05 2.69 1020.46
8.02 196.06 2.69 1039.42
8.18 196.67 2.69 1057.55
8.35 196.44 2.63 1076.86
8.52 196.14 2.61 1096.03
8.68 197.09 2.55 1114.07
8.85 198.52 2.45 1133.18
9.02 198.50 2.43 1152.25
9.18 199.83 2.42 1170.47
9.35 200.39 2.32 1189.83
9.52 199.27 2.18 1208.37
9.69 202.67 2.06 1226.35
9.85 200.54 2.00 1242.96
10.02 203.49 1.93 1260.41
10.19 201.81 1.83 1277.52
10.35 204.01 1.73 1293.09
10.52 207.35 1.65 1309.64
10.69 206.36 1.57 1325.94
10.85 208.49 1.44 1340.64
11.02 210.40 1.30 1355.51
11.19 209.72 1.17 1369.32
11.36 208.17 1.03 1381.76
11.52 208.38 0.91 1392.28
11.69 198.88 0.84 1402.12
11.86 203.73 0.76 1411.12
12.02 205.02 0.66 1419.15
12.19 208.84 0.58 1427.07
12.36 210.42 0.57 1434.89
12.52 210.26 0.59 1442.60
12.69 204.89 0.59 1450.92
12.86 210.94 0.55 1459.22
13.03 202.19 0.50 1466.99
13.19 203.59 0.44 1473.46
13.36 204.06 0.41 1479.93
