r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.22 152.00 5.50 0.00
0.43 167.00 5.46 58.76
0.65 179.00 5.42 83.96
0.87 188.00 5.38 111.82
1.08 195.00 5.34 140.06
1.31 199.00 5.30 172.00
1.52 202.00 5.26 201.43
1.73 202.00 5.22 230.65
1.96 202.00 5.19 262.18
2.17 200.00 5.18 290.30
2.39 196.00 5.17 318.49
2.60 193.00 5.16 344.23
2.83 189.00 5.14 371.23
3.04 184.00 5.13 394.51
5.87 170.00 5.07 724.02
6.08 172.00 5.07 744.09
6.30 174.00 5.07 766.37
6.52 176.00 5.06 789.79
6.74 178.00 5.06 814.25
6.95 180.00 5.06 838.54
7.16 182.00 5.06 863.71
7.39 183.00 5.06 891.96
7.60 184.00 5.02 918.04
7.82 185.00 4.97 945.53
8.03 186.00 4.92 971.89
8.26 187.00 4.86 1000.88
8.47 187.00 4.81 1027.25
8.68 188.00 4.76 1053.58
8.91 188.00 4.71 1082.36
9.53 187.00 4.51 1157.74
9.78 187.00 4.39 1187.12
9.99 186.00 4.29 1211.18
10.21 186.00 4.19 1235.82
11.46 182.00 3.60 1364.68
13.39 177.00 2.71 1531.76
15.21 175.00 1.95 1663.23
17.13 177.00 1.27 1779.15
19.06 180.00 0.85 1877.77
20.99 181.00 0.85 1979.96
22.92 182.00 0.85 2101.36
25.70 183.00 0.85 2307.61
