r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.25 5.79 9.43 0.00
0.49 13.03 8.16 4.55
0.74 29.18 7.50 11.06
0.99 34.67 7.38 19.08
1.24 39.88 6.76 27.36
1.48 40.08 6.81 35.22
1.73 43.17 6.86 43.70
1.98 41.72 7.11 52.04
2.23 41.60 7.42 59.90
2.47 40.27 7.64 67.00
2.72 40.81 7.00 73.83
2.97 40.85 6.57 80.35
3.21 38.98 6.64 86.15
3.46 38.18 6.33 91.66
3.71 37.23 5.41 96.51
3.96 38.62 4.58 101.00
4.20 42.37 3.94 105.76
4.45 44.13 3.46 111.17
4.70 43.15 3.09 116.37
4.95 43.90 2.86 121.36
5.19 41.74 2.82 126.04
5.44 38.88 2.75 130.42
5.69 37.47 2.46 134.23
5.93 36.81 2.02 137.35
6.18 38.73 1.50 140.21
6.43 36.33 1.02 142.45
