r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.12 5.92 4.41 0.00
0.24 8.81 4.97 1.68
0.36 12.37 5.40 2.90
0.48 14.95 5.77 4.45
0.60 16.48 5.86 6.13
0.72 18.66 5.50 7.94
0.84 20.86 4.97 9.90
0.96 22.30 4.31 11.90
1.07 23.44 3.73 13.68
1.19 26.49 3.35 15.79
1.31 27.19 2.95 18.00
1.43 27.11 2.61 20.06
1.55 28.01 2.38 22.06
1.67 29.31 2.25 24.16
1.79 30.82 2.06 26.40
1.91 32.13 1.83 28.67
2.03 32.74 1.59 30.89
2.15 33.11 1.38 32.96
2.27 33.42 1.20 34.90
2.39 34.32 1.06 36.76
2.51 34.35 0.92 38.54
2.63 34.94 0.79 40.19
2.75 35.39 0.69 41.77
2.87 36.08 0.63 43.31
