R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
3.099999999999999978e-01 9.179999999999999716e+00 2.060000000000000053e+00 1.643000000000000000e+07 2.870000000000000000e+06 1.296311960353525297e-03 5.238096440028515606e-04
6.300000000000000044e-01 1.501999999999999957e+01 2.419999999999999929e+00 1.212000000000000000e+07 4.260000000000000000e+06 1.535546938447086797e-03 6.200113783814631624e-04
9.399999999999999467e-01 1.666000000000000014e+01 3.250000000000000000e+00 9.260000000000000000e+06 4.490000000000000000e+06 1.187206288133055504e-03 4.795116236920535257e-04
1.250000000000000000e+00 2.451999999999999957e+01 2.669999999999999929e+00 6.940000000000000000e+06 4.179999999999999534e+06 6.068647516386586850e-04 2.460298318476980767e-04
1.560000000000000053e+00 3.221999999999999886e+01 2.979999999999999982e+00 5.230000000000000000e+06 3.660000000000000000e+06 4.495188876512975595e-04 1.826361825866665615e-04
1.879999999999999893e+00 3.870000000000000284e+01 2.620000000000000107e+00 4.290000000000000000e+06 3.460000000000000000e+06 3.003893062641611400e-04 1.230452546526112658e-04
2.189999999999999947e+00 4.459000000000000341e+01 3.200000000000000178e+00 3.650000000000000000e+06 3.010000000000000000e+06 1.441186362095821596e-04 6.167092064520629448e-05
2.500000000000000000e+00 4.829999999999999716e+01 3.379999999999999893e+00 3.300000000000000000e+06 2.600000000000000000e+06 6.297365286811962770e-05 3.076942894194841725e-05
2.810000000000000053e+00 5.071000000000000085e+01 3.109999999999999876e+00 2.810000000000000000e+06 2.170000000000000000e+06 3.235473432886861578e-05 2.026829935143376076e-05
3.129999999999999893e+00 5.165999999999999659e+01 3.450000000000000178e+00 2.370000000000000000e+06 1.910000000000000000e+06 1.719945420236471706e-05 1.590059467503935836e-05
3.439999999999999947e+00 5.240999999999999659e+01 3.910000000000000142e+00 1.980000000000000000e+06 1.800000000000000000e+06 1.079134345652991186e-05 1.523436329442277387e-05
3.750000000000000000e+00 5.331000000000000227e+01 5.099999999999999645e+00 1.620000000000000000e+06 1.740000000000000000e+06 0.000000000000000000e+00 0.000000000000000000e+00
4.070000000000000284e+00 5.588000000000000256e+01 5.049999999999999822e+00 1.370000000000000000e+06 1.600000000000000000e+06 0.000000000000000000e+00 0.000000000000000000e+00
4.379999999999999893e+00 5.324000000000000199e+01 6.750000000000000000e+00 1.100000000000000000e+06 1.370000000000000000e+06 0.000000000000000000e+00 0.000000000000000000e+00
4.690000000000000391e+00 5.325000000000000000e+01 6.450000000000000178e+00 8.600000000000000000e+05 1.070000000000000000e+06 0.000000000000000000e+00 0.000000000000000000e+00
