R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
6.255545051268998069e-01 1.025667000594855338e+01 1.271903315860874129e+00 6.895000000000000000e+06 2.706231164383561816e+06 8.948014358698157993e-04 3.024404186530609603e-04
1.042590841878166419e+00 1.546288993885249319e+01 1.569707604028041992e+00 7.332000000000000931e+06 2.233747572815534193e+06 8.215905511368983526e-04 2.442311197648142497e-04
1.459627178629433253e+00 1.918167679368249878e+01 1.602970496150530888e+00 6.396000000000000000e+06 2.377444055299538653e+06 5.993787125219640849e-04 1.060747148078255753e-04
1.876663515380700087e+00 2.181187861375505932e+01 1.986690143659924690e+00 5.645000000000000000e+06 2.634711836397438776e+06 4.856502904745006949e-04 7.956821343847882665e-05
2.293699852131965589e+00 2.736200378665869337e+01 2.234821494793111540e+00 5.666000000000000000e+06 2.437508602039765101e+06 5.274154969926837062e-04 1.506518703811360793e-04
2.710736188883232867e+00 3.097071806547198847e+01 2.245493357274038093e+00 5.496000000000000000e+06 2.632432346386501100e+06 6.627721302271546381e-04 3.174054724999026355e-04
3.127772525634499701e+00 3.027338185145287852e+01 2.504358714962434895e+00 5.485000000000000000e+06 3.069994700582935009e+06 5.129511091022021961e-04 1.466409614528100180e-04
3.544808862385766535e+00 3.401728297001697854e+01 2.798365241106512080e+00 5.977000000000000000e+06 3.558864573110893834e+06 3.858476630439684513e-04 8.510687022046607556e-05
3.961845199137032925e+00 3.723280651133228503e+01 3.230839445148121047e+00 6.010000000000000000e+06 3.162963343108504545e+06 4.115720244875701976e-04 1.206730533570141888e-04
4.378881535888298870e+00 4.079398836762167235e+01 3.344467756171036310e+00 6.295000000000000000e+06 2.784150093808629550e+06 6.317676266250926188e-04 2.613856833843259536e-04
4.795917872639565260e+00 4.368343101692014585e+01 3.042059576802233600e+00 6.475000000000000000e+06 2.702109836065573618e+06 1.025634316886990917e-03 5.553401502222039040e-04
5.212954209390832538e+00 4.719461445844415692e+01 2.617046669086081856e+00 6.306000000000000000e+06 2.931241417910447810e+06 9.893089531705550124e-04 5.671129670642934863e-04
5.629990546142098928e+00 5.188489367243752781e+01 2.374505497747100513e+00 6.654000000000000000e+06 3.141702127659574617e+06 5.718193792707359059e-04 2.525072662869093116e-04
6.047026882893365318e+00 5.691014763027771295e+01 2.266992682953483662e+00 6.512000000000000000e+06 2.918297647058823612e+06 2.719230083553880826e-04 7.019052570406325217e-05
6.464063219644632596e+00 5.920058444059964842e+01 2.153530472778347526e+00 5.626000000000000000e+06 2.497847884695147164e+06 2.138734101104292084e-04 5.823365355346627880e-05
6.881099556395899874e+00 6.305610467012908060e+01 2.354597288324529636e+00 5.048000000000000000e+06 2.342194000689575914e+06 1.737834747565851457e-04 5.232828147382605628e-05
7.298135893147165376e+00 6.768253933611165962e+01 2.761982891150536634e+00 4.973000000000000000e+06 2.399757565136113670e+06 1.395989114823815427e-04 4.186262517906085045e-05
7.715172229898432654e+00 6.933774137330381393e+01 2.709200972550443343e+00 4.403000000000000931e+06 2.012509971136184409e+06 3.801054385976169320e-05 1.245721399159028409e-05
8.132208566649696380e+00 7.113294280128221203e+01 1.985501500479494474e+00 3.636000000000000000e+06 1.455506219492993318e+06 3.384165150866803601e-05 1.004596653544047522e-05
8.549244903400964546e+00 7.301665901009720017e+01 1.988446390762707239e+00 2.718000000000000000e+06 1.088349153941394994e+06 2.958256617542559945e-05 7.053796376595307146e-06
8.966281240152230936e+00 7.243600076131916410e+01 1.897157336186772403e+00 1.773000000000000233e+06 8.072825434913018253e+05 2.807472981680824017e-05 5.024735781529706058e-06
9.383317576903495549e+00 7.243500000000000227e+01 1.897000000000000020e+00 1.061000000000000000e+06 7.321795620437954785e+05 2.649334445259636793e-05 3.052632531619354046e-06
