R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
5.300000000000000266e-01 2.569999999999999840e+00 5.480000000000000426e+00 9.540000000000000000e+06 1.810000000000000000e+06 1.966009340584327133e-03 8.350127486227158953e-04
7.900000000000000355e-01 9.849999999999999645e+00 1.870000000000000107e+00 9.630000000000000000e+06 2.800000000000000000e+06 2.049463871181384910e-03 8.704105053142726939e-04
1.050000000000000044e+00 1.717999999999999972e+01 4.860000000000000320e+00 9.790000000000000000e+06 3.140000000000000000e+06 3.403157080203438913e-03 1.445161879160483274e-03
1.320000000000000062e+00 2.114999999999999858e+01 4.839999999999999858e+00 1.001000000000000000e+07 3.050000000000000000e+06 3.528244045353751829e-03 1.498292180696823199e-03
1.580000000000000071e+00 2.814000000000000057e+01 3.479999999999999982e+00 1.010000000000000000e+07 3.220000000000000000e+06 1.811681968697680979e-03 7.695238428753979881e-04
1.850000000000000089e+00 2.926999999999999957e+01 2.430000000000000160e+00 9.360000000000000000e+06 3.040000000000000000e+06 9.584841804573018863e-04 4.073143092228516263e-04
2.109999999999999876e+00 3.777000000000000313e+01 2.950000000000000178e+00 8.050000000000000931e+06 2.550000000000000000e+06 8.127242202179297409e-04 3.454597040351040874e-04
2.370000000000000107e+00 4.189000000000000057e+01 2.729999999999999982e+00 7.000000000000000000e+06 2.130000000000000000e+06 7.250524876259230485e-04 3.082631403044761259e-04
2.640000000000000124e+00 4.475999999999999801e+01 3.479999999999999982e+00 6.220000000000000000e+06 2.120000000000000000e+06 6.565760770771734978e-04 2.792156036053342560e-04
2.899999999999999911e+00 4.692000000000000171e+01 4.040000000000000036e+00 5.670000000000000000e+06 2.190000000000000000e+06 5.171855286896594097e-04 2.201272407205019373e-04
3.160000000000000142e+00 4.993999999999999773e+01 4.419999999999999929e+00 5.390000000000000000e+06 2.180000000000000000e+06 3.716919375523498317e-04 1.584608271439587378e-04
3.430000000000000160e+00 5.228000000000000114e+01 3.700000000000000178e+00 5.120000000000000000e+06 2.180000000000000000e+06 2.687980962592675894e-04 1.150344580963551439e-04
3.689999999999999947e+00 5.079999999999999716e+01 3.970000000000000195e+00 4.650000000000000000e+06 2.060000000000000000e+06 1.866171356416733006e-04 8.035658381998119762e-05
3.959999999999999964e+00 4.938000000000000256e+01 3.430000000000000160e+00 4.230000000000000000e+06 1.900000000000000000e+06 1.661642484721592738e-04 7.175672185213695202e-05
4.219999999999999751e+00 4.785999999999999943e+01 3.500000000000000000e+00 4.010000000000000000e+06 1.960000000000000000e+06 1.348787232852455579e-04 5.879834154170950761e-05
4.480000000000000426e+00 4.717000000000000171e+01 3.049999999999999822e+00 3.720000000000000000e+06 1.970000000000000000e+06 8.526910714675067294e-05 3.844554979400762476e-05
4.750000000000000000e+00 4.964000000000000057e+01 3.419999999999999929e+00 3.440000000000000000e+06 1.930000000000000000e+06 5.620433529187161820e-05 2.707277799876204021e-05
5.009999999999999787e+00 5.146999999999999886e+01 3.319999999999999840e+00 3.010000000000000000e+06 1.770000000000000000e+06 4.654742702379823237e-05 2.409195018210171830e-05
5.269999999999999574e+00 5.222999999999999687e+01 3.439999999999999947e+00 2.680000000000000000e+06 1.600000000000000000e+06 3.771584293416556350e-05 2.139585620561184647e-05
5.540000000000000036e+00 5.288000000000000256e+01 3.060000000000000053e+00 2.360000000000000000e+06 1.480000000000000000e+06 2.891528804911644343e-05 1.872395836175819089e-05
5.799999999999999822e+00 5.253000000000000114e+01 3.520000000000000018e+00 2.060000000000000000e+06 1.380000000000000000e+06 2.378663746227902025e-05 1.818219789038024996e-05
6.070000000000000284e+00 5.340999999999999659e+01 4.639999999999999680e+00 1.690000000000000000e+06 1.280000000000000000e+06 1.902446705552253564e-05 1.789820957089491635e-05
6.330000000000000071e+00 5.520000000000000284e+01 5.480000000000000426e+00 1.370000000000000000e+06 1.200000000000000000e+06 1.558201901888538513e-05 1.703095441514683358e-05
