R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
1.199999999999999956e-01 5.919999999999999929e+00 9.000000000000000222e-01 4.410000000000000000e+06 3.800000000000000000e+05 8.892441596432414152e-04 3.720081795033050218e-04
2.399999999999999911e-01 8.810000000000000497e+00 9.799999999999999822e-01 4.970000000000000000e+06 4.700000000000000000e+05 8.356007378929612879e-04 3.495632071026229747e-04
3.599999999999999867e-01 1.236999999999999922e+01 1.159999999999999920e+00 5.400000000000000000e+06 6.400000000000000000e+05 7.729806523188803785e-04 3.233623040546876218e-04
4.799999999999999822e-01 1.494999999999999929e+01 1.120000000000000107e+00 5.770000000000000000e+06 9.800000000000000000e+05 6.849701145311601867e-04 2.865471066171826450e-04
5.999999999999999778e-01 1.648000000000000043e+01 1.330000000000000071e+00 5.860000000000000000e+06 1.150000000000000000e+06 5.774831465607718197e-04 2.415899288054293307e-04
7.199999999999999734e-01 1.866000000000000014e+01 1.320000000000000062e+00 5.500000000000000000e+06 1.100000000000000000e+06 4.724800327598538061e-04 1.976720769173554880e-04
8.399999999999999689e-01 2.085999999999999943e+01 1.310000000000000053e+00 4.970000000000000000e+06 1.040000000000000000e+06 3.741543960214937245e-04 1.565483001006741349e-04
9.599999999999999645e-01 2.230000000000000071e+01 1.669999999999999929e+00 4.310000000000000000e+06 1.020000000000000000e+06 2.758287592831336430e-04 1.154245232839927547e-04
1.070000000000000062e+00 2.344000000000000128e+01 2.310000000000000053e+00 3.730000000000000000e+06 9.800000000000000000e+05 1.941332989642264011e-04 8.128385256755179524e-05
1.189999999999999947e+00 2.648999999999999844e+01 1.830000000000000071e+00 3.350000000000000000e+06 8.500000000000000000e+05 1.051700922462280149e-04 4.410655455451400477e-05
1.310000000000000053e+00 2.719000000000000128e+01 1.610000000000000098e+00 2.950000000000000000e+06 8.200000000000000000e+05 6.208122610350731328e-05 2.610875797975875681e-05
1.429999999999999938e+00 2.710999999999999943e+01 1.899999999999999911e+00 2.610000000000000000e+06 7.500000000000000000e+05 4.827928428664244773e-05 2.035546672511565183e-05
1.550000000000000044e+00 2.801000000000000156e+01 1.620000000000000107e+00 2.380000000000000000e+06 6.500000000000000000e+05 3.546566986230307781e-05 1.503238309495848908e-05
1.669999999999999929e+00 2.930999999999999872e+01 1.979999999999999982e+00 2.250000000000000000e+06 5.700000000000000000e+05 2.475608742404496066e-05 1.062516055437553734e-05
1.790000000000000036e+00 3.082000000000000028e+01 1.860000000000000098e+00 2.060000000000000000e+06 5.100000000000000000e+05 1.428310644784726152e-05 6.316896549200860847e-06
1.909999999999999920e+00 3.213000000000000256e+01 2.000000000000000000e+00 1.830000000000000000e+06 4.800000000000000000e+05 1.177162307675179885e-05 5.338528039161381343e-06
2.029999999999999805e+00 3.274000000000000199e+01 2.240000000000000213e+00 1.590000000000000000e+06 4.600000000000000000e+05 9.260139705656334494e-06 4.360159529121900992e-06
2.149999999999999911e+00 3.310999999999999943e+01 2.540000000000000036e+00 1.380000000000000000e+06 4.500000000000000000e+05 6.947359687966403345e-06 3.510711574836316247e-06
2.270000000000000018e+00 3.342000000000000171e+01 2.830000000000000071e+00 1.200000000000000000e+06 4.400000000000000000e+05 4.705078996865089678e-06 2.707004229394561150e-06
2.390000000000000124e+00 3.432000000000000028e+01 2.939999999999999947e+00 1.060000000000000000e+06 4.300000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.509999999999999787e+00 3.435000000000000142e+01 3.259999999999999787e+00 9.200000000000000000e+05 4.300000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.629999999999999893e+00 3.493999999999999773e+01 3.250000000000000000e+00 7.900000000000000000e+05 4.200000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.750000000000000000e+00 3.539000000000000057e+01 3.379999999999999893e+00 6.900000000000000000e+05 4.000000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.870000000000000107e+00 3.607999999999999829e+01 3.029999999999999805e+00 6.300000000000000000e+05 3.700000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
