r[kpc] vrot[km/s] vstars[km/s]  Sigma_star[Msun/pc2] jstar[kpckm/s] evstars[km/s]
1.2220 28.3790 20.7710 2.8061 0.0000 6.5752
2.0360 35.4337 23.7890 0.5797 31.2846 8.0277
2.8510 43.7483 30.1363 0.1189 37.6146 7.4016
3.6650 50.1944 34.6130 0.0246 41.3370 7.1287
4.4800 53.7004 35.3019 0.0051 42.8906 7.5735
5.2940 54.9049 32.5782 0.0010 43.3868 8.8768
6.1090 55.7240 28.9113 0.0002 43.5193 10.4810
6.9230 56.7635 25.2410 0.0000 43.5513 12.8747
7.7380 57.4815 20.0759 0.0000 43.5585 17.6649
8.5520 56.8341 3.6512 0.0000 43.5597 116.3601
