r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstars[km/s]
0.2200 9.7100 23.2521 314.0675 0.0000 8.4920
0.6600 19.4800 19.8951 203.0324 10.4039 9.9300
1.1100 21.4500 12.8445 140.4034 12.3816 19.9334
1.5500 28.7100 17.7785 98.0264 15.5997 19.1639
1.9900 35.1900 24.2302 72.1128 21.4918 16.8635
2.4300 46.6100 37.8436 58.4750 31.4665 13.6356
2.8700 52.2700 44.0868 51.3193 44.9353 12.9396
3.3200 54.2800 46.2642 41.4105 58.9371 12.7511
3.7600 61.9600 55.1265 36.3351 73.7738 11.9902
4.2000 69.2200 63.3503 31.2539 91.0903 11.4991
4.6400 78.1300 73.2071 26.3745 110.4025 11.0954
5.0900 78.4900 74.4774 23.0119 130.6323 10.8809
5.5300 83.6700 81.1676 20.0653 150.5271 10.5075
5.9700 89.0200 87.1016 19.7598 172.6491 10.3635
6.4100 89.8700 87.7865 17.4298 195.5247 10.3915
6.8500 92.0000 89.7863 15.8876 217.6547 10.4066
7.3000 94.3100 91.9725 14.9869 240.6014 10.4190
7.7400 99.8200 97.4491 13.6085 263.8482 10.4013
8.1800 97.9800 95.3945 12.0266 286.3260 10.4467
8.6200 104.1800 101.5934 11.0980 308.4162 10.4198
9.0700 105.4700 102.7554 9.7991 331.1206 10.4355
9.5100 107.1300 104.3039 9.7398 353.4938 10.4465
9.9500 107.7600 104.7970 8.3402 375.4499 10.4658
10.3900 109.1800 106.1047 7.5343 396.0160 10.4774
10.8300 111.6800 108.5269 6.3431 415.4280 10.4785
11.2800 113.7400 110.4963 5.4713 433.8669 10.4834
11.7200 113.1700 109.7626 4.7048 450.4555 10.5110
12.1600 112.9700 109.4090 4.6164 466.4558 10.5355
12.6000 111.9400 108.1961 3.6709 481.2781 10.5689
13.0400 114.0000 110.1797 3.8122 495.5962 10.5701
13.4900 115.0100 111.0759 2.2151 508.1598 10.5822
13.9300 118.0500 114.0793 2.6855 519.2488 10.5723
14.3700 118.8700 114.7871 2.0919 530.8425 10.5847
