r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstars[km/s]
0.3200 24.4000 24.4000 542.4600 0.0000 35.9000
0.6400 43.3000 43.3000 295.2850 18.1826 16.3000
0.9600 45.5000 45.5000 205.4850 27.3045 16.1000
1.2800 58.5000 58.5000 164.6700 38.7650 15.4000
1.6100 68.8000 68.8000 134.3100 53.7326 7.6100
1.9300 76.9000 76.9000 123.8350 70.7672 10.3000
2.2400 82.0000 82.0000 113.7800 88.8861 8.0900
2.5700 86.9000 86.9000 102.5100 108.9297 7.6000
2.8900 97.6000 97.6000 100.1000 131.1027 3.0300
3.2100 100.0000 100.0000 104.2900 156.3828 5.3100
3.5400 107.0000 107.0000 104.2350 184.8569 7.5100
3.8500 113.0000 113.0000 98.0350 213.1118 7.3200
4.1700 117.0000 117.0000 89.9800 242.1119 5.2100
4.5000 119.0000 119.0000 82.0950 270.7981 5.6700
4.8200 127.0000 127.0000 75.4950 298.7401 5.3900
5.1500 132.0000 132.0000 69.0400 328.3627 4.3400
5.4600 134.0000 134.0000 63.0000 355.6395 2.3600
5.7800 137.0000 137.0000 56.8150 382.7980 0.8900
6.1000 140.0000 140.0000 50.5950 409.0075 2.8400
6.4300 142.0000 142.0000 43.2600 434.3837 0.8800
6.7400 144.0000 144.0000 35.1150 455.7733 1.2300
7.0600 146.0000 146.0000 28.8350 475.3255 1.5700
8.0400 147.0000 147.0000 20.3700 527.8370 3.0000
9.0400 148.0000 148.0000 15.9150 576.6992 3.0000
10.0400 152.0000 152.0000 13.3200 625.4077 2.0000
11.0400 155.0000 155.0000 10.5100 673.6828 2.0000
12.0500 156.0000 156.0000 7.7100 717.8458 2.0000
14.0500 157.0000 157.0000 3.2100 780.4591 2.0000
16.0700 153.0000 153.0000 1.4750 817.1403 2.0000
18.1300 153.0000 153.0000 1.1950 845.8969 2.0000
20.0500 154.0000 154.0000 0.7200 870.0479 2.0000
22.1200 153.0000 153.0000 0.3600 888.1818 2.0000
24.0300 150.0000 150.0000 0.1400 897.4780 2.0000
26.1000 149.0000 149.0000 0.0800 902.7988 2.0000
28.1600 148.0000 148.0000 0.0400 906.2138 2.0000
30.0800 146.0000 146.0000 0.0200 908.0657 2.0000
32.1400 147.0000 147.0000 0.0100 909.2093 2.0000
34.0600 148.0000 148.0000 0.0050 909.8283 2.0000
36.1200 148.0000 148.0000 0.0050 910.3461 2.0000
38.1900 149.0000 149.0000 0.0021 910.7568 2.0000
40.1000 150.0000 150.0000 0.0012 910.9615 2.0000
42.1700 150.0000 150.0000 0.0007 911.1049 3.0000
44.0800 149.0000 149.0000 0.0004 911.1886 3.0000
