r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstar[km/s]
0.8700 47.1000 46.2932 80.1050 0.0000 8.4757
1.7400 65.9000 61.7952 47.7050 76.8314 7.6327
2.6100 76.1000 71.3356 34.9850 115.1565 6.6676
3.5000 85.7000 81.2218 27.2200 159.7943 6.4893
4.3700 96.6000 92.8522 22.4100 210.3474 5.8735
5.2400 99.3000 96.8260 18.2700 262.9282 5.6327
6.1100 103.0000 101.3460 16.0450 316.0275 5.4791
6.9800 107.0000 105.1125 12.3300 367.2265 5.5065
7.8500 111.0000 108.8957 9.8400 415.0872 5.5294
8.7200 114.0000 111.6732 6.6700 457.1169 6.4383
9.6000 115.0000 112.4136 3.5650 488.1241 6.4729
10.4700 111.0000 108.0299 1.9150 507.2785 6.0538
11.3500 110.0000 106.7070 1.2350 520.1110 6.1079
12.3100 111.0000 107.4177 0.8500 531.2531 5.7603
13.1200 109.0000 105.0738 0.6900 539.4623 5.4433
14.0500 108.0000 103.7151 0.5450 548.0205 5.1332
14.9800 109.0000 104.4374 0.4450 555.9933 5.9267
16.0300 111.0000 106.1692 0.3550 564.6015 6.0511
16.9500 110.0000 104.8091 0.2500 571.1750 5.7354
17.8800 109.0000 103.4373 0.1700 576.3019 5.8032
18.9300 110.0000 104.1298 0.1300 580.9856 6.2217
19.9700 112.0000 105.8889 0.0900 584.8994 11.1328
21.0200 113.0000 106.5936 0.0618 588.0279 12.5096
