r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstars[km/s]
0.1300 232.0000 239.1912 24542.9700 0.0000 32.5342
0.2500 233.0000 239.6130 14593.8930 46.4634 16.6829
0.3800 234.0000 240.0109 9056.9740 61.6104 14.4954
0.5100 235.0000 240.4290 6421.6380 76.6034 10.6824
0.6300 236.0000 240.9078 4898.3420 90.1937 9.2702
0.7600 237.0000 241.3636 3870.7020 104.6951 10.3789
0.8900 238.0000 241.8381 3160.2390 119.0582 10.0330
1.0100 239.0000 242.3682 2680.7050 132.2132 4.0207
1.1400 240.0000 242.8777 2250.8420 146.2552 3.6670
1.2700 240.0000 242.4145 1967.1550 160.1432 5.4229
1.3900 241.0000 242.9904 1756.5770 172.9702 3.8473
1.5200 242.0000 243.5479 1520.3450 186.6958 2.9319
1.6500 242.0000 243.1261 1360.6660 200.1961 2.1061
1.7700 243.0000 243.7447 1247.4950 212.6674 2.1601
1.9000 244.0000 244.3467 1147.1330 226.3149 3.1545
2.0300 244.0000 243.9635 1062.9360 240.0665 1.6143
2.1600 244.0000 243.5920 995.6100 253.9097 3.0885
2.2800 245.0000 244.2622 936.3110 266.8107 2.3964
2.4100 245.0000 243.9137 871.0690 280.8053 3.2396
2.5400 246.0000 244.5819 802.7490 294.6708 2.9689
2.6600 246.0000 244.2809 740.8840 307.2461 2.8083
2.7900 246.0000 243.9647 675.4250 320.4901 4.0757
2.9200 247.0000 244.6684 614.9070 333.3497 3.9593
3.0400 247.0000 244.3959 562.1180 344.8589 4.1876
3.1700 247.0000 244.1101 508.4810 356.8560 5.5087
3.3000 247.0000 243.8337 462.7430 368.3979 4.1816
3.4200 247.0000 243.5869 427.2290 378.7247 4.4092
3.5500 248.0000 244.3432 393.4400 389.6628 5.6194
3.6800 248.0000 244.0944 356.9390 400.2773 3.5794
3.8000 248.0000 243.8724 323.7570 409.6541 4.0041
3.9300 248.0000 243.6401 293.4990 419.3682 7.2969
4.0600 248.0000 243.4161 266.0460 428.6716 8.8788
4.1800 248.0000 243.2165 244.0720 436.9241 3.7112
4.3100 248.0000 243.0078 223.9920 445.5621 14.2048
4.4400 248.0000 242.8069 205.5050 453.9195 5.6127
4.5600 248.0000 242.6282 190.2870 461.3957 6.3917
4.6900 248.0000 242.4416 176.4810 469.2803 15.6722
4.8200 248.0000 242.2623 164.5180 476.9897 11.0816
4.9400 248.0000 242.1032 153.5220 483.9496 3.1776
4.9900 248.0000 242.0386 149.5420 486.8040 5.6080
5.0700 248.0000 241.9372 143.7760 491.3308 5.2602
5.2000 248.0000 241.7777 135.6970 498.6096 9.1121
5.4500 247.0000 240.4627 122.1330 512.3534 8.9538
5.5800 247.0000 240.3218 115.6400 519.3742 3.7854
5.7000 247.0000 240.1970 109.9120 525.7844 3.8082
5.8300 247.0000 240.0667 104.0650 532.6470 6.9760
6.4700 247.0000 239.5117 91.1090 567.2489 7.7536
6.5900 246.0000 238.3912 89.2430 573.9447 6.8945
6.6600 246.0000 238.3407 88.2340 577.8768 3.9357
6.7200 246.0000 238.2985 87.3940 581.2711 5.8140
6.8500 246.0000 238.2105 85.6970 588.7039 4.4505
6.9700 246.0000 238.1337 84.2530 595.6629 6.7976
7.1000 246.0000 238.0549 82.5130 603.2983 7.2763
7.2300 246.0000 237.9789 80.4590 611.0035 9.7681
8.3200 246.0000 237.4947 60.7140 674.5637 3.9905
10.0000 245.0000 236.1989 39.5600 765.7639 4.0774
11.6100 245.0000 236.3393 23.3200 839.5070 3.5025
13.3500 246.0000 237.7949 14.2350 903.0230 3.8746
14.9800 245.0000 237.3104 10.7050 955.0411 3.4457
16.6100 245.0000 237.9346 8.9200 1006.3430 3.3319
18.3400 245.0000 238.6313 8.1400 1064.6661 3.2966
19.9700 245.0000 239.2857 6.4400 1120.6081 3.4131
21.6000 245.0000 239.9125 5.2600 1173.5017 3.5083
23.3300 244.0000 239.5013 4.3300 1227.1073 5.2734
26.7000 243.0000 239.7113 2.6950 1319.4141 10.9386
29.9500 239.0000 236.9693 1.6150 1389.1506 17.2216
33.3200 231.0000 229.4237 1.0150 1443.3160 18.4824
36.6800 219.0000 217.1450 0.6150 1482.5885 12.3095
39.9400 210.0000 207.8705 0.4150 1510.1586 7.7802
43.3000 210.0000 207.6701 0.3900 1536.2496 4.0474
46.6700 212.0000 209.4931 0.2650 1561.1224 3.2846
49.9200 213.0000 210.3136 0.1600 1579.2980 6.8728
53.2900 218.0000 215.1820 0.1304 1594.5177 6.9111
