# r[kpc] vc[km/s] vstars[km/s]  Sigma_star [Msun/pc2] jstar [kpc km/s] evstar[km/s]
0.48 7.75 0.00 3.14 0.00 inf
0.71 11.53 7.08 2.88 2.89 9.73
0.95 16.44 11.77 2.38 5.89 8.09
1.19 21.77 16.84 1.99 9.57 7.17
1.43 25.05 19.46 1.65 13.55 6.50
1.66 29.93 24.31 1.33 17.70 5.12
1.90 31.21 24.71 0.96 21.75 5.03
2.14 34.07 27.18 0.73 25.31 4.68
2.38 35.00 27.29 0.67 28.89 5.15
2.61 36.05 27.62 0.60 32.30 5.35
2.85 37.77 28.83 0.41 35.49 5.41
3.09 38.79 29.17 0.25 37.91 5.99
3.33 39.22 28.74 0.14 39.55 6.75
