r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstar[km/s]
0.19 10.19 11.06 6.63 0.00 2.95
0.37 17.14 14.49 5.55 4.12 5.31
0.56 20.84 18.11 4.74 6.48 4.58
0.75 25.07 22.91 4.15 9.64 4.07
0.93 28.97 26.58 3.80 13.30 3.87
1.12 32.66 29.78 3.09 17.37 3.75
1.31 34.94 31.52 2.63 21.44 3.98
1.49 37.70 33.89 1.85 24.99 4.36
1.68 39.98 35.75 1.63 28.68 4.32
1.87 42.04 37.41 1.37 32.47 4.45
2.05 44.84 39.98 1.26 36.30 4.66
2.24 46.02 40.72 1.02 40.35 5.07
2.43 46.40 40.56 0.69 43.68 5.12
2.61 46.31 39.90 0.54 46.20 5.43
2.80 48.92 42.35 0.45 48.68 6.83
