# r[kpc] vc[km/s] vstars[km/s]  Sigma_star [Msun/pc2] jstar [kpc km/s] evstar[km/s]
0.53 4.07 0.00 5.51 0.00 inf
0.79 10.77 0.00 5.54 0.00 inf
1.05 18.09 12.78 6.09 4.75 9.23
1.32 22.27 18.00 5.61 11.04 7.50
1.58 29.41 26.66 3.66 17.05 4.92
1.85 30.95 28.28 2.59 22.82 4.06
2.11 39.49 37.17 2.22 28.91 3.95
2.37 43.78 41.34 1.95 36.22 3.70
2.64 46.89 44.22 1.70 44.14 4.30
2.90 49.32 46.43 1.48 51.77 4.77
3.16 52.52 49.48 1.26 59.35 5.09
3.43 55.10 51.87 1.09 67.19 4.48
3.69 54.09 50.46 0.92 74.17 4.83
3.96 53.10 49.04 0.71 80.20 4.55
4.22 52.11 47.62 0.56 84.90 4.82
4.48 51.81 46.93 0.46 88.88 4.70
4.75 54.34 49.36 0.38 92.74 4.95
5.01 56.11 50.97 0.32 96.39 4.90
5.27 56.80 51.40 0.26 99.84 5.06
5.54 57.33 51.65 0.21 103.04 4.84
5.80 56.80 50.72 0.19 105.89 5.26
6.07 57.40 51.05 0.18 108.87 6.15
6.33 58.82 52.32 0.16 111.81 6.89
