# r[kpc] vc[km/s] vstars[km/s]  Sigma_star [Msun/pc2] jstar [kpc km/s] evstar[km/s]
0.12 5.94 9.09 4.13 0.00 4.37
0.24 8.86 8.96 3.77 1.78 1.28
0.36 12.43 10.15 3.35 2.52 4.29
0.48 15.04 12.20 3.05 3.53 4.35
0.60 16.61 13.92 2.83 4.77 4.05
0.72 18.83 16.12 2.57 6.22 3.78
0.84 21.10 17.84 2.16 7.79 3.93
0.96 22.63 18.78 1.76 9.30 4.34
1.07 23.90 19.55 1.55 10.65 4.90
1.19 27.09 22.63 1.33 12.27 4.34
1.31 28.01 23.03 1.11 13.94 4.41
1.43 28.24 22.61 0.88 15.40 4.87
1.55 29.47 23.44 0.67 16.65 4.79
1.67 31.12 24.84 0.46 17.75 4.94
1.79 32.98 26.53 0.27 18.62 4.79
1.91 34.66 28.02 0.21 19.33 4.83
2.03 35.67 28.70 0.15 19.97 5.04
2.15 36.39 29.04 0.11 20.53 5.34
2.27 36.99 29.24 0.09 21.01 5.69
2.39 38.01 29.98 0.06 21.42 5.82
2.51 38.10 29.55 0.04 21.74 6.27
2.63 38.54 29.57 0.03 21.99 6.43
2.75 38.72 29.26 0.02 22.19 6.72
2.87 38.96 29.02 0.02 22.35 6.69
