Name,Mass(Msun),e_Mass(Msun),j,e_j,fgas,e_fgas,Dist(kpc),e_Dist(kpc),c(lM-lfgas),c(lM-lj),c(lfgas-lj)
CVIDWA,62100000,9630000,9.8,3.3,0.86,0.04,3.6,0.17,-0.28,0.19,0.03
DDO064,322000000,158000000,63.9,19.7,0.75,0.05,6.8,2.04,-0.07,0.79,0.04
DDO101,80700000,94500000,52,37.7,0.26,0.05,6.4,4.72,-0.1,0.8,0.02
DDO126,178000000,32800000,58.2,7.8,0.81,0.04,4.9,0.38,-0.23,0.7,0.14
DDO133,159000000,82400000,60.5,20.1,0.73,0.06,3.5,1.13,-0.07,0.79,0.03
DDO154,280000000,41100000,147.6,8.3,0.95,0.01,3.7,0.07,-0.25,0.56,0.35
DDO168,355000000,56700000,98,10.6,0.76,0.05,4.3,0.26,-0.35,0.58,0.23
DDO50,899000000,142000000,125.5,23.1,0.8,0.05,3.4,0.19,-0.32,0.36,0.21
KK251,155000000,75300000,44.1,14.7,0.73,0.06,6.8,2.04,-0.07,0.79,0.02
LVHIS009,654000000,142000000,126.4,22,0.78,0.07,4.43,0.45,-0.27,0.53,0.23
LVHIS012,2350000000,446000000,234.6,17.3,0.53,0.1,5.76,0.1,-0.84,-0.63,0.77
LVHIS025,297000000,62000000,99.5,11.3,0.83,0.06,4.9,0.45,-0.23,0.65,0.23
LVHIS030,980000000,204000000,259.3,25.9,0.96,0.02,5.25,0.41,-0.07,0.55,0.09
LVHIS055,125000000,30800000,54.2,9.8,0.4,0.09,3.4,0.23,-0.7,-0.33,0.73
LVHIS072,868000000,201000000,152.5,17.9,0.46,0.1,3.09,0.23,-0.64,0.01,0.57
LVHIS078,284000000,69600000,48.7,5.8,0.43,0.1,1.97,0.16,-0.64,0.05,0.49
LVHIS080,444000000,100000000,89.9,12.6,0.68,0.09,4.72,0.52,-0.35,0.58,0.29
NGC0055,4260000000,692000000,340.4,36.1,0.46,0.07,1.98,0.05,-0.8,-0.27,0.51
NGC0247,6180000000,1040000000,599.6,40.8,0.43,0.07,3.51,0.09,-0.81,-0.29,0.58
NGC0253,55400000000,14800000000,990,53.9,0.03,0.01,3.56,0.13,-0.83,0.17,0.09
NGC0300,4140000000,674000000,429.7,47.3,0.46,0.07,1.97,0.05,-0.8,-0.29,0.41
NGC0891,69500000000,16800000000,978.5,66.6,0.07,0.02,9.91,0.5,-0.79,-0.05,0.41
NGC0925,11700000000,2470000000,634.5,62.1,0.24,0.05,8.91,0.28,-0.82,-0.21,0.39
NGC1365,102000000000,24200000000,2752,579.5,0.16,0.04,17.7,0.81,-0.78,-0.02,0.13
NGC1569,797000000,171000000,20.8,8.1,0.19,0.04,3.4,0.17,-0.77,-0.08,0.41
