Name,Mass,e_Mass,j,e_j,fgas,e_fgas,Dist,e_Dist,c(lM-lfgas),c(lM-lj),c(lfgas-lj)
CVIDWA    , 6.21e+07, 9.63e+06,    9.8,   3.3, 0.86, 0.04, 3.60, 0.17,-0.28, 0.19, 0.03
DDO064    , 3.22e+08, 1.58e+08,   63.9,  19.7, 0.75, 0.05, 6.80, 2.04,-0.07, 0.79, 0.04
DDO101    , 8.07e+07, 9.45e+07,   52.0,  37.7, 0.26, 0.05, 6.40, 4.72,-0.10, 0.80, 0.02
DDO126    , 1.78e+08, 3.28e+07,   58.2,   7.8, 0.81, 0.04, 4.90, 0.38,-0.23, 0.70, 0.14
DDO133    , 1.59e+08, 8.24e+07,   60.5,  20.1, 0.73, 0.06, 3.50, 1.13,-0.07, 0.79, 0.03
DDO154    , 2.80e+08, 4.11e+07,  147.6,   8.3, 0.95, 0.01, 3.70, 0.07,-0.25, 0.56, 0.35
DDO168    , 3.55e+08, 5.67e+07,   98.0,  10.6, 0.76, 0.05, 4.30, 0.26,-0.35, 0.58, 0.23
KK251     , 1.55e+08, 7.53e+07,   44.1,  14.7, 0.73, 0.06, 6.80, 2.04,-0.07, 0.79, 0.02
LVHIS025  , 2.97e+08, 6.20e+07,   99.5,  11.3, 0.83, 0.06, 4.90, 0.45,-0.23, 0.65, 0.23
LVHIS055  , 1.25e+08, 3.08e+07,   54.2,   9.8, 0.40, 0.09, 3.40, 0.23,-0.70,-0.33, 0.73
LVHIS078  , 2.84e+08, 6.96e+07,   48.7,   5.8, 0.43, 0.10, 1.97, 0.16,-0.64, 0.05, 0.49
LVHIS080  , 4.44e+08, 1.00e+08,   89.9,  12.6, 0.68, 0.09, 4.72, 0.52,-0.35, 0.58, 0.29
NGC4190   , 9.37e+07, 1.58e+07,   16.8,   2.4, 0.46, 0.07, 2.89, 0.12,-0.71, 0.01, 0.37
UGC08550  , 4.99e+08, 2.37e+08,  139.9,  40.2, 0.71, 0.06, 6.70, 2.00,-0.08, 0.79, 0.10
WLM       , 8.66e+07, 1.25e+07,   39.5,   3.5, 0.82, 0.04, 1.00, 0.04,-0.28, 0.19, 0.03
