Name,Mass,e_Mass,j,e_j,fgas,e_fgas,c(lM-lfgas),c(lM-lj),c(lfgas-lj)
DDO50,8.99e+08,1.42e+08,125.5,23.1,0.80,0.05,-0.32,0.36,0.21
LVHIS009,6.54e+08,1.42e+08,126.4,22.0,0.78,0.07,-0.27,0.53,0.23
LVHIS030,9.80e+08,2.04e+08,259.3,25.9,0.96,0.02,-0.07,0.55,0.09
LVHIS072,8.68e+08,2.01e+08,152.5,17.9,0.46,0.10,-0.64,0.01,0.57
NGC1569,7.97e+08,1.71e+08,20.8,8.1,0.19,0.04,-0.77,-0.08,0.41
NGC2366,8.48e+08,1.60e+08,156.2,18.8,0.85,0.04,-0.17,0.70,0.10
NGC2976,1.40e+09,3.33e+08,84.5,7.6,0.13,0.03,-0.82,0.06,0.11
UGC05721,9.19e+08,4.36e+08,199.8,60.8,0.70,0.06,-0.09,0.78,0.12
UGC05829,1.45e+09,7.53e+08,229.4,104.0,0.82,0.04,-0.05,0.61,0.03
UGC06446,1.24e+09,5.61e+08,355.8,94.5,0.61,0.07,-0.10,0.79,0.10
UGC06818,1.36e+09,3.39e+08,195.1,30.3,0.43,0.07,-0.35,0.60,0.26
UGC07690,7.61e+08,3.41e+08,101.7,23.8,0.47,0.07,-0.15,0.75,0.09
UGC08286,1.42e+09,2.02e+08,280.0,16.8,0.56,0.07,-0.73,-0.23,0.67
UGC08490,1.39e+09,2.94e+08,262.6,34.3,0.63,0.07,-0.29,0.57,0.33
UGC12060,1.54e+09,2.62e+08,314.0,27.7,0.59,0.07,-0.50,0.33,0.40
