Name,Mbar,e_Mbar,jbar,e_jbar,fgas,e_fgas,Mgas,e_Mgas,jgas,e_jgas,Mstar,e_Mstar,jstar,e_jstar
DDO064,321000000.0,158432951.1181307,63.91682242990654,50.34540273310387,0.7538940809968847,0.16604909233347906,242000000.0,150000000.0,71.3,25.1,79000000.0,51000000.0,41.3,21.6
DDO101,80700000.0,94499100.5248198,52.00495662949194,92.39900179112996,0.2614622057001239,0.40626354571392426,21100000.0,31200000.0,63.6,50.6,59600000.0,89200000.0,47.9,47.8
DDO126,170118864.3150958,33267466.135023896,60.52733207395448,18.271082970632552,0.852345215116353,0.061435422731609596,145000000.0,31400000.0,62.5,8.3,25118864.315095823,10989281.27972715,49.14,4.92
DDO133,247825673.85564047,92691654.46180442,62.991441249261925,35.73379603918841,0.4680709556652734,0.19186791959417698,116000000.0,77000000.0,64.8,26.0,131825673.85564047,51601771.35396176,61.4,4.17
DDO154,276481536.2149688,41175905.719638266,148.7260308255547,32.8052920935202,0.9584726836657848,0.01760355954416324,265000000.0,40900000.0,154.0,8.5,11481536.214968817,4758698.543986526,27.0,2.48
DDO168,354176377.1102671,61351911.17441512,100.5481649512248,26.4850642022209,0.7651554917668282,0.07833514441961788,271000000.0,52000000.0,108.5,12.8,83176377.11026709,32558516.62396987,74.64,4.91
DDO50,899000000.0,142203234.84365606,125.50122358175751,37.045217233742726,0.7997775305895439,0.0518062281763961,719000000.0,134000000.0,142.4,27.7,180000000.0,47600000.0,58.0,26.2
LVHIS009,648038426.4602886,138662377.72561455,139.83728777831695,47.48391334563623,0.7869903684349688,0.07491455519637952,510000000.0,129000000.0,146.3,26.1,138038426.46028867,50855235.68445049,115.96,12.04
LVHIS012,1541995172.040202,214379013.78166002,293.7604316951217,58.69880695844364,0.8041529717368476,0.056267082349727174,1240000000.0,191000000.0,300.1,12.6,301995172.0402019,97351741.38143179,267.73,13.95
LVHIS025,297400000.0,61987902.04547981,99.50484196368527,32.068017422997336,0.8305312710154674,0.06624730618095079,247000000.0,58500000.0,110.3,12.8,50400000.0,20500000.0,46.6,12.0
LVHIS030,979800000.0,204603250.21856323,259.29826495203105,82.03529031789343,0.9593794651969789,0.01754567515284557,940000000.0,204000000.0,269.1,26.7,39800000.0,15700000.0,27.8,38.0
LVHIS072,697120922.6666391,113192269.41968788,167.19762127199076,41.731601193731365,0.5766574878605889,0.08054637797275528,402000000.0,85000000.0,223.1,22.1,295120922.66663903,74749514.08791369,91.05,6.16
LVHIS080,335481338.92335755,81393896.96321888,101.4251119687354,38.223670804931835,0.8942375184347782,0.04844066835375509,300000000.0,79900000.0,107.7,15.5,35481338.92335753,15522772.396034567,48.37,6.31
NGC0055,4260000000.0,691399305.7560877,340.38779342723006,81.65518818958955,0.4624413145539906,0.07769226943767374,1970000000.0,312000000.0,429.3,20.2,2290000000.0,617000000.0,263.9,61.1
NGC0247,6180000000.0,1044305032.0667808,599.7291262135923,141.16563183253024,0.42718446601941745,0.07666218009493059,2640000000.0,418000000.0,747.0,23.9,3540000000.0,957000000.0,489.9,61.6
NGC0253,54010746024.97734,6047490049.196865,870.1007282935119,141.13689967897236,0.028327696108704913,0.0055904574500210925,1530000000.0,256000000.0,1480.0,54.5,52480746024.97734,6042069173.315968,852.32,36.9
NGC0300,4130000000.0,673504268.7318321,429.4733656174334,98.25597883333502,0.4600484261501211,0.07781825789572455,1900000000.0,302000000.0,667.7,64.1,2230000000.0,602000000.0,226.5,37.3
NGC0891,69490000000.0,16824196979.3509,978.5016549143762,323.5345717036808,0.07180889336595193,0.02113172619207935,4990000000.0,902000000.0,2412.0,131.9,64500000000.0,16800000000.0,867.6,63.6
NGC1365,102200000000.0,24270288420.2063,2752.6575342465753,1040.8232883339158,0.16046966731898238,0.04458406612284248,16400000000.0,2870000000.0,4786.0,729.4,85800000000.0,24100000000.0,2364.0,666.9
NGC2366,819000000.0,160291253.3991873,161.30122100122102,48.572070456755156,0.8778998778998779,0.045830393803367134,719000000.0,156000000.0,164.3,21.1,100000000.0,36841361.487904735,139.74,6.34
NGC2403,9873413251.903492,1396213805.27899,731.228806303517,148.42180093012684,0.4304489128094222,0.06744650488252861,4250000000.0,769000000.0,1130.0,71.1,5623413251.903491,1165354877.3020334,429.85,15.7
NGC2541,4742802778.041122,666442100.8213509,545.5993445490275,107.6026262655806,0.14105583371449215,0.02841863338601818,669000000.0,114000000.0,731.2,42.6,4073802778.041122,656619428.3960654,515.12,19.12
NGC2903,43320000000.0,26190883910.246326,756.151431209603,651.8711128394638,0.08125577100646353,0.06733712471863389,3520000000.0,2180000000.0,2178.0,628.5,39800000000.0,26100000000.0,630.4,260.0
NGC2998,99500000000.0,31073495136.530746,2410.523618090452,1051.6792585783487,0.207035175879397,0.08360621761309925,20600000000.0,6890000000.0,4814.0,758.8,78900000000.0,30300000000.0,1783.0,415.8
NGC3031,43440000000.0,10909243832.64028,1522.367403314917,531.9160951214653,0.06537753222836096,0.019037664401299666,2840000000.0,449000000.0,2271.0,130.8,40600000000.0,10900000000.0,1470.0,10.2
NGC3198,28995869074.375633,3419384970.933586,1760.5653660674561,318.96818016092624,0.42764712339518,0.05765538268778797,12400000000.0,2130000000.0,3024.0,133.3,16595869074.375631,2674938051.515676,816.56,33.41
NGC3319,5398000000.0,1258967831.2014172,580.276213412375,192.17673955010608,0.16265283438310485,0.044272671219257154,878000000.0,150000000.0,922.5,63.6,4520000000.0,1250000000.0,513.8,72.6
NGC3351,41633522909.71728,3495661133.286729,1090.7582092762777,130.72052647356827,0.10760559488840102,0.01767605563648136,4480000000.0,714000000.0,1847.0,153.0,37153522909.71728,3421965920.165111,999.57,29.14
NGC3370,20040000000.0,4589214420.791428,805.5329341317365,249.550539702319,0.16167664670658682,0.04267496810545834,3240000000.0,517000000.0,1430.0,93.3,16800000000.0,4560000000.0,685.1,57.9
NGC3521,46330000000.0,26833205175.67739,874.0673429743147,730.1301961853135,0.12367796244334124,0.09746980599333478,5730000000.0,3530000000.0,1948.0,612.3,40600000000.0,26600000000.0,722.5,316.6
NGC3627,42510000000.0,10907082515.5034,879.8663843801459,328.59193934435456,0.05669254293107504,0.016951786277350212,2410000000.0,393000000.0,1064.0,64.5,40100000000.0,10900000000.0,868.8,90.4
NGC3726,45220000000.0,13530000000.0,1386.0243255196815,579.0864448007218,0.20831490490933216,0.08000845476526497,9420000000.0,2970000000.0,2131.0,335.6,35800000000.0,13200000000.0,1190.0,170.5
NGC3769,15000000000.0,3708719455.5533586,1057.5984,397.05748991638956,0.44533333333333336,0.11952869777134519,6680000000.0,2110000000.0,1743.0,261.8,8320000000.0,3050000000.0,507.3,126.6
NGC3877,34890000000.0,12210282592.962376,900.5588993981083,459.28184447434415,0.04557179707652623,0.021017981488379734,1590000000.0,501000000.0,1084.0,159.7,33300000000.0,12200000000.0,891.8,124.3
NGC3917,13010000000.0,4011023435.483767,778.4319754035357,339.78371025086176,0.16986933128362797,0.06810157075380985,2210000000.0,697000000.0,1128.0,165.2,10800000000.0,3950000000.0,706.9,103.3
NGC3953,63190000000.0,22120152259.873802,1706.9330590283273,887.7965199728653,0.04731761354644722,0.021827009881149585,2990000000.0,944000000.0,2370.0,329.1,60200000000.0,22100000000.0,1674.0,309.4
NGC3972,7860000000.0,2452185963.584328,483.7259541984733,220.36750793040434,0.16030534351145037,0.06500582013474969,1260000000.0,396000000.0,643.1,100.5,6600000000.0,2420000000.0,453.3,84.2
NGC3992,195124365246.1746,24270030539.15544,4114.085151304372,727.4319691298106,0.12966089585009427,0.03178551776052598,25300000000.0,6210000000.0,6072.0,556.6,169824365246.1746,23462103110.581066,3822.4,133.52
NGC4010,10090000000.0,2957964840.8999047,520.1586719524281,224.33273879220295,0.22497522299306244,0.08437783735181775,2270000000.0,716000000.0,718.1,111.8,7820000000.0,2870000000.0,462.7,104.2
NGC4013,36250000000.0,11776485044.358524,1533.0137931034483,697.5356446517775,0.11724137931034483,0.04996738141860058,4250000000.0,1340000000.0,2527.0,316.9,32000000000.0,11700000000.0,1401.0,175.3
NGC4051,34200000000.0,11533926304.602436,947.3801169590644,493.550625286332,0.08187134502923976,0.03634677133487484,2800000000.0,884000000.0,1232.0,192.8,31400000000.0,11500000000.0,922.0,228.8
NGC4088,62100000000.0,19531768993.10454,1087.303381642512,474.7560012209347,0.1529790660225443,0.06272804737835831,9500000000.0,3000000000.0,1873.0,270.1,52600000000.0,19300000000.0,945.4,130.5
NGC4100,31180000000.0,10033274639.91692,1221.6850545221296,539.8968020257447,0.1308531109685696,0.05510631290566771,4080000000.0,1290000000.0,2103.0,260.1,27100000000.0,9950000000.0,1089.0,99.3
NGC4157,61600000000.0,19090898354.975338,1274.3522727272727,535.4451673977148,0.17045454545454544,0.06859439240358704,10500000000.0,3320000000.0,2483.0,355.9,51100000000.0,18800000000.0,1026.0,126.9
NGC4183,9940000000.0,2448264691.5723796,800.8521126760563,289.46755872901525,0.45774647887323944,0.12035354041439415,4550000000.0,1440000000.0,1053.0,159.3,5390000000.0,1980000000.0,588.0,93.6
NGC4190,74402954.32513592,13611443.66759482,19.613379057420868,5.251066498712868,0.5846542035133164,0.09868100204001336,43500000.0,7460000.0,21.2,2.7,30902954.32513592,11385069.113365414,17.38,1.89
NGC4258,51470000000.0,12235700061.704683,1819.8066835049544,596.7809500325463,0.1159898970273946,0.03183101484227741,5970000000.0,934000000.0,3335.0,93.1,45500000000.0,12200000000.0,1621.0,150.0
NGC4535,72358297539.19818,7829425280.378342,1853.0478008805092,287.3251903299513,0.06564554669665651,0.012997095291028032,4750000000.0,845000000.0,2168.0,240.4,67608297539.19819,7783692903.823189,1830.92,55.32
NGC4536,33622092266.663902,4137408097.200602,1214.1198673940191,211.86742634867824,0.1222410541081954,0.023591852766182725,4110000000.0,703000000.0,1586.0,79.7,29512092266.663902,4077246222.97711,1162.33,44.18
