Name,v0,rpe,100a,M2L,mbar,Jb,jb,D,Mr,Mbar,logMbar,logjbar,logMstar,logMgas,fgas,logjstar,logjgas
KK246,,,,,,,,,,,8.25,1.84,7.70,8.11,0.7244359601,1.10,1.96
DDO47,,,,,,,,,,,8.87,2.42,7.55,8.85,0.954992586,2.06,2.43
UGC4115,,,,,,,,,,,8.74,2.09,7.57,8.71,0.9332543008,1.74,2.11
UGC3501,,,,,,,,,,,8.11,1.44,7.09,8.07,0.9120108394,1.36,1.45
J0737+4724,,,,,,,,,,,7.41,1.21,6.07,7.38,0.9332543008,0.92,1.22
J0926+3343,,,,,,,,,,,7.86,1.52,6.09,7.85,0.977237221,1.33,1.52
UGC5288,,,,,,,,,,,9.13,2.7,8.14,9.08,0.8912509381,2.16,2.73
UGC4148,,,,,,,,,,,9.11,2.53,7.46,9.10,0.977237221,2.24,2.53
J0630+23,,,,,,,,,,,9.33,2.65,8.22,9.29,0.9120108394,2.22,2.67
J0626+24,,,,,,,,,,,8.97,2.41,7.73,8.95,0.954992586,2.37,2.41
J0929+1155,,,,,,,,,,,8.7,2.32,7.43,8.68,0.954992586,2.23,2.32
