Name,logMstar,logMHI,Jbar,logjbar,logMbar,fgas,logMgas,jgas,logjgas,jstar,logjstar
ESO111-G014,10.5,10.6,4125.6,3.615487118,10.92722162,0.6260802725,10.72385164,6062.0,3.782612866,801.4,2.903855189
ESO243-G002,10.7,10.7,3523.8,3.547011251,11.06735592,0.5708154506,10.82385164,5299.7,3.724254746,1114.5,3.047095970
NGC289,10.5,10.5,5453.1,3.736643462,10.86735592,0.5708154506,10.62385164,9597.4,3.982154895,885.7,2.947274556
ESO245-G010,10.5,10.5,4092.4,3.611978076,10.86735592,0.5708154506,10.62385164,6435.3,3.808567849,804.9,2.905764271
ESO417-G018,10.3,10.4,3522.7,3.546875659,10.72722162,0.6260802725,10.52385164,4899.9,3.690187155,878.2,2.943576247
ESO055-G013,10.2,10.3,3749.8,3.574008105,10.62722162,0.6260802725,10.42385164,5831.2,3.765755557,247.8,2.394024104
ESO208-G026,9.8,9.9,1993,3.299507299,10.22722162,0.6260802725,10.02385164,3047.2,3.483897511,181.4,2.258731403
ESO378-G003,10.1,10.3,3196.7,3.504701881,10.59246815,0.6782401482,10.42385164,4342.2,3.637710576,726.4,2.861192068
ESO381-G005,10.1,10.4,3388.2,3.529969038,10.66273275,0.7263047577,10.52385164,4387.4,3.642211026,315.2,2.498619887
ESO461-G010,10.1,10.3,6377.8,3.804670896,10.59246815,0.6782401482,10.42385164,9157.4,3.961772232,671.0,2.826746792
ESO075-G006,10.6,10.9,9764,3.989627771,11.16273275,0.7263047577,11.02385164,13167.5,4.119504739,910.8,2.959426341
ESO290-G035,10.5,10.5,4117.7,3.614654702,10.86735592,0.5708154506,10.62385164,6905.1,3.839172814,907.0,2.957606669
