,t_acc=3Gyr,t_acc=10Gyr,t_acc=25Gyr
0,0.0,0.0,0.0
1,33395560.545431074,14238814.875960583,10471764.792520447
2,65696284.3895936,28335951.17669076,20901726.18840193
3,96938064.54889077,42292818.62756785,31290051.067249466
4,127155617.32668209,56110812.92696794,41636905.64248232
5,156382520.89052668,69791315.88583589,51942455.46399497
6,184651252.5847122,83335695.56586814,62206865.42080386
7,211993225.01953432,96745306.41631964,72430299.74368764
8,238438820.97742945,110021489.40945034,82612922.0078133
9,264017427.17474747,123165572.17462279,92754895.13535449
10,288757466.9166823,136178869.1310672,102856381.39809789
11,312686431.68164635,149062681.6193234,112917542.4200386
12,335830911.6701863,161818298.031377,122938539.17996801
13,358216625.3523856,174446993.93949872,132919532.01404805
14,379868448.04658914,186950032.22380343,142860680.61837658
15,400810439.56120443,199328663.1985389,152762144.05154392
16,421065870.93029785,211584124.737118,162624080.737176
17,440657250.2726935,223717642.39590755,172446648.46647003
18,459606347.80330896,235730429.53678483,182230004.40071937
19,477934220.02452415,247623687.44847447,191974305.0738277
20,495661233.1244603,259398605.46667877,201679706.39481372
21,512807085.6081741,271056361.093012,211346363.6503054
22,529390830.1869114,282598120.1127516,220974431.50702518
23,545430894.9497472,294025036.7114179,230564064.0142643
24,560945103.8411362,305338253.590193,240115414.60634726
25,575950696.4671286,316538902.08019245,249628636.10508725
26,590464347.2522627,327628102.25559944,259103880.72223136
27,604502183.9684176,338606963.0456723,268541300.0618954
28,618079805.6562202,349476582.34563917,277941045.1229905
29,631212299.9589164,360238047.1264882,287303266.30163795
30,643914259.8879724,370892433.54366523,296628113.39357615
31,656199800.0390326,381440807.0446908,305915735.5965576
32,668082572.2762562,391884222.4757052,315166281.5127361
33,679575780.9024595,402223724.1869546,324379899.1510432
34,690692197.3319219,412460346.1372264,333556735.9295576
35,701444174.2821608,422595111.99724585,342696938.6778637
36,711843659.500443,432629035.25204504,351800653.63940084
37,721902209.0402905,442563119.30231076,360868026.47380215
38,731631000.1027266,452398357.5647267,369899202.25922644
39,741040843.4565405,462135733.57131505,378894325.4946789
40,750142195.4513627,471776221.0677908,387853540.1023234
41,758945169.6369089,481320784.1109377,396776989.4297848
42,767459548.0012964,490770377.16501385,405664816.2524426
