,t_acc=3Gyr,t_acc=10Gyr,t_acc=25Gyr
0,0.0,0.0,0.0
1,9516316.666674469,3339556.054543107,1423881.487596058
2,18127036.06856076,6569628.43895936,2833595.1176690757
3,25918337.179595686,9693806.454889076,4229281.862756784
4,32968197.96004524,12715561.73266821,5611081.292696794
5,39347175.78614019,15638252.089052668,6979131.588583587
6,45119113.61201259,18465125.25847122,8333569.556586812
7,50341778.93143906,21199322.50195343,9674530.641631963
8,55067441.934334844,23843882.097742945,11002148.940945033
9,59343398.644383125,26401742.717474747,12316557.217462277
10,63212444.27353676,28875746.691668227,13617886.913106717
11,66713301.53088345,31268643.168164637,14906268.161932338
12,69881008.17253348,33583091.16701863,16181829.803137695
13,72747267.67125945,35821662.53523856,17444699.39394987
14,75340766.51550768,37986844.80465891,18695003.22238034
15,77687461.31341653,40081043.95612044,19932866.319853887
16,79810838.57527477,42106587.09302978,21158412.473711796
17,81732149.77441084,44065725.02726935,22371764.239590753
18,83470624.03908071,45960634.7803309,23573042.953678478
19,85043660.60404654,47793422.00245241,24762368.744847443
20,86467002.9479664,49566123.31244603,25939860.54666787
21,87754896.35942009,51280708.560817406,27105636.109301195
22,88920230.50854535,52939083.01869114,28259812.011275154
23,89974668.45118901,54543089.49497472,29402503.671141785
24,90928763.35668984,56094510.38411362,30533825.35901929
25,91792064.12754446,57595069.64671286,31653890.208019238
26,92573210.96803303,59046434.72522627,32762810.225559935
27,93280021.85828765,60450218.39684176,33860696.304567225
28,93919570.79926533,61807980.56562201,34947658.23456391
29,94498258.61172721,63121229.99589164,36023804.71264882
30,95021876.99780409,64391425.988797225,37089243.35436651
31,95495666.50629805,65619980.003903255,38144080.70446908
32,95924368.98185627,66808257.22762562,39188422.247570515
33,96312275.02294597,67957578.09024595,40222372.41869546
34,96663266.92360613,69069219.73319219,41246034.61372263
35,96980857.52875102,70144417.42821607,42259511.19972458
36,97268225.39190279,71184365.95004429,43262903.525204495
37,97528246.58722354,72190220.90402904,44256311.930231065
38,97763523.49423221,73163100.01027267,45239835.75647266
39,97976410.8432934,74104084.34565404,46213573.357131496
40,98169039.28255045,75014219.54513627,47177622.106779076
41,98343336.7021681,75894516.96369088,48132078.411093764
42,98501047.52930528,76745954.80012964,49077037.71650138
43,98643750.18692839,77569479.18409277,50012594.5197199
44,98772872.89119895,78366005.22740145,50938842.37720931
45,98889707.94554095,79136418.04094283,51855873.91452721
46,98995424.67444785,79881573.7182177,52763780.835591555
47,99091081.12647519,80602300.2866435,53662653.93185102
48,99177634.66354607,81299398.62767012,54552583.09136431
49,99255951.54255117,81973643.36673033,55433657.30778899
50,99326815.58513878,82625783.73401468,56305964.6892809
51,99390936.02246535,83256544.39702633,57169592.46730515
52,99448954.59341925,83866626.26584192,58024627.00535921
53,99501451.96735933,84456707.27197249,58871153.80760945
54,99548953.55564892,85027443.12169062,59709257.5274415
55,99591934.7701495,85579468.02466026,60539021.97592579
56,99630825.78130224,86113395.39867951,61360530.13019862
57,99666015.8234185,86629818.55131902,62173864.14176002
58,99697857.09026754,87129311.33921362,62979105.34468894
59,99726668.25995024,87612428.80573992,63776334.2637767
60,99752737.68433651,88079707.79778823,64565630.62257955
61,99776326.27498789,88531667.56231439,65347073.35139115
62,99797670.11444798,88968810.32333411,66120740.595135555
63,99816982.81903602,89391621.84000157,66886709.72118189
64,99834457.67679074,89800571.94639152,67645057.32708105
65,99850269.5819621,90196115.07358573,68395859.24822561
66,99864576.78541155,90578690.75464298,69139190.56543334
67,99877522.47844009,90948724.1130144,69875125.61245538
68,99889236.2258947,91306626.33494669,70603737.98340976
69,99899835.26289706,91652795.12639786,71325100.54014072
70,99909425.66817196,91987615.15497383,72039285.41950507
71,99918103.4257188,92311458.47737637,72746364.04058592
72,99925955.38545182,92624684.95283769,73446407.1118346
73,99933060.13242318,92927642.64300111,74139484.63814165
74,99939488.77332854,93220668.198692,74825665.9278372
75,99945305.64816684,93504087.23400892,75505019.59962207
76,99950568.97417656,93778214.68815053,76177613.58942957
77,99955331.42849347,94043355.17538042,76843515.15721917
78,99959640.6753611,94299803.32351883,77502790.8937026
79,99963539.84317048,94547844.10133709,78155506.72700284
80,99967067.95610361,94787753.135219,78801727.92924723
81,99970260.32470056,95019797.01544066,79441519.12309445
82,99973148.89925925,95244233.59240936,80074944.2881971
83,99975762.58960474,95461312.26319057,80702066.7675995
84,99978127.5544285,95671274.24864137,81322949.2740722
85,99980267.46309337,95874352.86145857,81937653.89638326
86,99982203.73252453,96070773.7654389,82546242.10550718
87,99983955.74155724,96260755.22623992,83148774.76077203
88,99985541.02488677,96444508.35391974,83745312.11594544
89,99986975.44856152,96622237.3375256,84335913.82526003
90,99988273.36877576,96794139.6719915,84920638.94937894
91,99989447.77555121,96960406.37759735,85499545.9613018
92,99990510.42274563,97121222.21223344,86072692.75221229
93,99991471.94568934,97276765.8767059,86640136.63726705
94,99992341.9676271,97427210.21331164,87201934.36132751
95,99993129.19603088,97572722.39790305,87758142.10463423
96,99993841.50974718,97713464.12565617,88308815.48842506
97,99994486.03785105,97849591.79074864,88854009.58049725
98,99995069.23099642,97981256.66014712,89393778.90071435
99,99995596.92597629,98108605.04169717,89928177.42645818
100,99996074.40413938,98231778.4467027,90457258.59802668
101,99996506.44424766,98350913.74717526,90981075.3239779
102,99996897.3703037,98466143.32792807,91499679.9864209
103,99997251.0948269,98577595.23368397,92013124.44625416
104,99997571.15801117,98685393.31136048,92521460.04835151
105,99997860.76315643,98789657.34769022,93024737.62669678
106,99998122.80872831,98890503.20232959,93523007.50946718
107,99998359.917367,98988042.93660365,94016319.52406625
108,99998574.4621354,99082384.93803026,94504723.00210652
109,99998768.5902697,99173634.04076177,94988266.7843428
110,99998944.24466951,99261891.64207822,95466999.22555628
111,99999103.18334311,99347255.81506142,95940968.19939002
112,99999246.99700215,99429821.41757509,96410221.10313638
113,99999377.12498207,99509680.19767232,96874804.86247677
114,99999494.86964744,99586920.89554723,97334765.93617429
115,99999601.40942644,99661629.34214427,97790150.32071958
116,99999697.81060499,99733888.55453494,98241003.55493066
117,99999785.03799848,99803778.82816736,98687370.72450659
118,99999863.96460798,99871377.82609172,99129296.46653633
119,99999935.38035756,99936760.66526061,99566824.97396234
120,100000000.0,99999999.99999999,99999999.99999999
