,t_acc=3Gyr,t_acc=10Gyr,t_acc=25Gyr
0,0.0,0.0,0.0
1,309576846.256146,131993813.90015459,5862286.330340338
2,609004556.2915328,262674267.4079233,11923275.521296652
3,898615858.3682175,392054428.67755395,18189702.628884964
4,1178732572.618343,520147235.83299273,24668530.994609512
5,1449665968.6551824,646965498.2616986,31366959.98322523
6,1711717111.4602823,772521897.8955976,38292432.98277275
7,1965177195.9310832,896828990.479283,45452645.67577511
8,2210327870.460771,1019899206.8256046,52855554.59078812
9,2447441549.9099092,1141744854.058753,60509385.943806134
10,2676781718.317645,1262378116.8449926,68422644.77934843
11,2898603221.688862,1381811058.6111279,76604124.42138377
12,3113152551.182627,1500055622.7508645,85062916.24459484
13,3320668117.016614,1617123633.819153,93808419.77684139
14,3521380513.3918815,1733026798.7146575,102850353.1440468
15,3715512774.732365,1847776707.8504555,112198763.86911575
16,3903280623.5238614,1961384836.3130836,121864040.03688249
17,4084892710.0278687,2073862545.0100627,131856921.8374957
18,4260550844.1366744,2185221081.805995,142188513.50106838
19,4430450219.627339,2295471582.647358,152870295.63685384
20,4594779631.063746,2404625072.6761117,163914137.99065894
21,4753721683.587774,2512692467.3322206,175332312.63467234
22,4907452995.832668,2619684573.445207,187137507.60436237
23,5056144396.184156,2725612090.3148437,199342840.99759993
24,5199961112.607332,2830485610.7810884,211961875.55167228
25,5339062956.250283,2934315622.2833834,225008633.7143866
26,5473604499.028475,3037112507.909406,238497613.22601026
27,5603735245.387231,3138886547.433382,252443803.22936276
28,5729599798.433161,3239647918.3440747,266862700.92596078
29,5851338020.619155,3339406696.8625455,281770328.7967255
30,5969085189.161503,3438172858.949776,297183252.40638787
31,6082972146.361832,3535956281.3042836,313118598.8113759
32,6193125445.0008955,3632766742.349787,329594075.5916391
33,6299667488.965799,3728613923.213069,346627990.52755964
34,6402716669.266916,3823507408.692088,364239271.94381374
35,6502387495.595631,3917456688.214469,382447489.7427912
36,6598790723.569106,4010471156.786457,401272877.1509448
37,6692033477.803493,4102560115.9324203,420736353.202235
38,6782219370.952276,4193732774.625016,440859545.98365235
39,6869448618.84213,4283998250.20609,461664816.6686513
40,6953818151.834132,4373365569.298421,483175284.36519885
41,7035421722.534145,4461843668.708392,505414851.80605125
42,7114350009.972018,4549441396.319678,528408231.9098039
43,7190690720.3654,4636167511.978035,552180975.242234
44,7264528684.580115,4722030688.367304,576759498.4084458
45,7335945952.395401,4807039511.876673,602171113.4073725
46,7405021883.6787815,4891202483.459337,628444057.9812511
47,7471833236.571854,4974528019.482591,655607526.993797
48,7536454252.78502,5057024452.569472,683691704.8719461
49,7598956740.095902,5138700032.432039,712727799.1472099
50,7659410152.143161,5219562926.69634,742748075.1339246
51,7717881665.6043415,5299621221.719188,773785891.7829181
52,7774436254.843546,5378882923.396799,805875738.7504425
53,7829136764.111851,5457355957.965396,839053274.7235646
54,7882043977.38072,5535048172.793827,873355367.0445962
55,7933216685.886006,5611967337.168321,908820132.6786022
56,7982711753.457592,5688121143.069412,945486980.5695055
57,8030584179.707273,5763517205.9411545,983396655.4318556
58,8076887161.145103,5838163065.452664,1022591283.026928
59,8121672150.292091,5912066186.2521,1063114416.9734572
60,8164988912.85497,5985233958.713125,1105011087.14503
61,8206885583.026544,6057673699.67396,1148327849.7079096
62,8247408716.973072,6129392653.169066,1193112838.8548977
63,8286603344.568145,6200397991.153562,1239415820.2927275
64,8324513019.430494,6270696814.220414,1287288246.542409
65,8361179867.321399,6340296152.310514,1336783314.113994
66,8396644632.955404,6409202965.41567,1387956022.6192803
67,8430946725.276436,6477424144.274614,1440863235.8881497
68,8464124261.249558,6544966511.062085,1495563745.1564553
69,8496214108.217083,6611836820.071045,1552118334.3956597
70,8527251924.8660755,6678041758.388121,1610589847.8568401
71,8557272200.852791,6743587946.562316,1671043259.9040978
72,8586308295.128055,6808481939.267069,1733545747.2149804
73,8614392473.006203,6872730225.955731,1798166763.4281468
74,8641555942.01875,6936339231.510509,1864978116.3212202
75,8667828886.592627,6999315316.884967,1934054047.6045995
76,8693240501.591555,7061664779.740122,2005471315.419886
77,8717819024.757767,7123393855.074218,2079309279.6346
78,8741591768.090197,7184508715.846231,2155649990.0279827
79,8764585148.193949,7245015473.593164,2234578277.465856
80,8786824715.634802,7304920179.041219,2316181848.1658683
81,8808335183.331348,7364228822.710856,2400551381.1578703
82,8829140454.016348,7422947335.515871,2487780629.0477257
83,8849263646.797766,7481081589.356474,2577966522.1965094
84,8868727122.849056,7538637397.706493,2671209276.4308944
85,8887552510.25721,7595620516.194729,2767612504.4043717
86,8905760728.056187,7652036643.180516,2867283330.7330847
87,8923372009.47244,7707891420.323568,2970332511.0342026
88,8940405924.408361,7763190433.148144,3076874554.999107
89,8956881401.188623,7817939211.601605,3187027853.638169
90,8972816747.593613,7872143230.607428,3300914810.838497
91,8988229671.203276,7925807910.612678,3418661979.380846
92,9003137299.07404,7978938618.130079,3540400201.566841
93,9017556196.770638,8031540666.274656,3666264754.61277
94,9031502386.773989,8083619315.29506,3796395500.9715257
95,9044991366.285614,8135179773.099593,3930937043.7497177
96,9058038124.448328,8186227195.777003,4070038887.392671
97,9070657159.0024,8236766688.112096,4213855603.815847
98,9082862492.395638,8286803304.096221,4362547004.1673355
99,9094667687.365328,8336342047.432674,4516278316.412229
100,9106085862.00934,8385387872.037074,4675220368.936255
101,9117129704.363148,8433945682.532753,4839549780.372665
102,9127811486.498932,8482020334.741218,5009449155.863329
103,9138143078.162504,8529616636.167762,5185107289.972135
104,9148135959.963118,8576739346.482185,5366719376.47614
105,9157801236.130884,8623393177.994793,5554487225.267635
106,9167149646.855953,8669582796.12761,5748619486.608123
107,9176191580.22316,8715312819.880941,5949331882.983388
108,9184937083.755405,8760587822.295275,6156847448.817375
109,9193395875.578617,8805412330.908579,6371396778.31114
110,9201577355.220652,8849790828.209068,6593218281.682355
111,9209490614.056194,8893727752.083456,6822558450.090096
112,9217144445.409212,8937227496.260742,7059672129.539234
113,9224547354.324224,8980294410.751596,7304822804.068922
114,9231707567.017227,9022932802.283358,7558282888.5397215
115,9238633040.016775,9065146934.730707,7820334031.34482
116,9245331469.00539,9106941029.542072,8091267427.381662
117,9251810297.371115,9148319266.16176,8371384141.631787
118,9258076724.478703,9189285782.447918,8660995443.70847
119,9264137713.669659,9229844675.08631,8960423153.743856
120,9270000000.0,9270000000.0,9270000000.000002
