Name,Mstar,e_Mstar,Mgas,e_Mgas,Mbar,e_Mbar,jstar,e_jstar,jgas,e_jgas,jbar,e_jbar,Rd,rstar,rgas,rbar,SimbadName,_RA,_DE
CVIDWA,9.0e+06,2.3e+06,5.3e+07,9.4e+06,6.2e+07,9.6e+06,7.9,10.2,10.1,3.5,9.8,3.30,0.68,0.79,0.81,0.80,CVnIdwA,189.66708,+32.76639
DDO064,7.9e+07,5.1e+07,2.4e+08,1.5e+08,3.2e+08,1.6e+08,41.3,21.6,71.3,25.1,63.9,19.70,0.69,0.96,0.99,0.99,DDO064,147.59487,+31.48828
DDO101,6.0e+07,8.9e+07,2.1e+07,3.1e+07,8.1e+07,9.4e+07,47.9,47.8,63.6,50.6,52.0,37.70,0.58,0.93,0.93,0.93,DDO101,178.91544,+31.51848
DDO126,3.3e+07,9.6e+06,1.4e+08,3.1e+07,1.8e+08,3.3e+07,39.5,19.8,62.5,8.3,58.2,7.80,0.82,0.98,0.85,0.88,DDO126,186.77319,+37.14177
DDO133,4.2e+07,2.9e+07,1.2e+08,7.7e+07,1.6e+08,8.2e+07,48.7,23.7,64.8,26.0,60.5,20.10,0.80,0.90,0.92,0.92,DDO133,188.22708,+31.54167
DDO154,1.5e+07,3.5e+06,2.6e+08,4.1e+07,2.8e+08,4.1e+07,31.8,16.1,154.0,8.5,147.6,8.30,0.54,0.99,0.81,0.82,DDO154,193.52187,+27.14963
DDO168,8.4e+07,2.2e+07,2.7e+08,5.2e+07,3.6e+08,5.7e+07,64.3,14.0,108.5,12.8,98.0,10.60,1.03,0.99,0.87,0.89,DDO168,198.61666,+45.91976
DDO181,1.6e+07,4.3e+06,4.5e+07,6.9e+06,6.1e+07,8.1e+06,,,21.4,2.0,,,0.50,,0.74,,DDO181,204.97396,+40.74036
DDO183,1.4e+07,4.0e+06,3.7e+07,6.4e+06,5.2e+07,7.6e+06,7.2,9.0,9.2,1.5,8.7,2.70,0.82,0.23,0.21,0.21,DDO183,207.71380,+38.02082
DDO190,3.6e+07,9.7e+06,5.4e+07,8.2e+06,9.0e+07,1.3e+07,17.4,4.9,24.3,3.3,21.5,4.80,0.40,0.03,0.84,0.15,DDO190,216.17948,+44.52549
DDO210,5.0e+05,1.3e+05,1.7e+06,3.0e+05,2.2e+06,3.2e+05,,,1.2,1.3,,,0.22,,0.87,,DDO210,311.71542,-12.84833
DDO216,7.7e+06,2.0e+06,4.6e+06,8.1e+05,1.2e+07,2.2e+06,,,6.7,2.1,,,0.52,,0.75,,DDO216,352.14667,+14.74306
DDO50,1.8e+08,4.8e+07,7.2e+08,1.3e+08,9.0e+08,1.4e+08,58.0,26.2,142.4,27.7,125.5,23.10,0.90,1.00,0.97,0.97,DDO50,124.77078,+70.72028
DDO52,8.8e+07,2.3e+07,2.4e+08,4.3e+07,3.3e+08,4.8e+07,66.3,12.8,153.0,16.6,130.0,13.50,0.94,0.99,0.70,0.75,DDO52,127.11900,+41.85753
DDO53,9.3e+06,2.5e+06,3.9e+07,7.6e+06,4.9e+07,8.0e+06,8.8,10.8,9.7,3.2,9.6,3.30,0.89,0.07,0.11,0.10,DDO53,128.53037,+66.18183
DDO87,4.1e+07,2.6e+07,2.0e+08,1.2e+08,2.4e+08,1.3e+08,83.0,34.5,141.3,53.5,131.6,45.00,1.13,0.25,0.79,0.77,DDO87,162.40172,+65.53363
IC2574,7.4e+08,2.0e+08,1.8e+09,3.0e+08,2.5e+09,3.6e+08,198.6,104.5,345.2,41.6,303.6,43.40,2.78,0.89,0.79,0.77,IC2574,157.09842,+68.41207
KK251,4.2e+07,2.7e+07,1.1e+08,7.0e+07,1.6e+08,7.5e+07,40.9,29.7,45.2,16.9,44.1,14.70,1.34,0.77,0.97,0.94,[KK98a]251,307.63708,+60.35472
LVHIS009,1.4e+08,6.0e+07,5.1e+08,1.3e+08,6.5e+08,1.4e+08,55.7,25.3,146.3,26.1,126.4,22.00,1.33,1.00,0.98,0.99,ESO245-G005,026.26542,-43.59778
LVHIS012,1.1e+09,4.0e+08,1.2e+09,1.9e+08,2.4e+09,4.5e+08,161.5,18.1,300.1,12.6,234.6,17.30,2.37,1.00,0.91,0.95,ESO154-G023,044.21000,-54.57139
LVHIS020,3.4e+08,1.2e+08,5.2e+08,8.0e+07,8.6e+08,1.5e+08,96.3,17.1,159.9,8.1,134.9,10.20,2.66,0.99,0.10,0.21,ESO364-G029,091.43333,-33.08333
LVHIS025,5.0e+07,2.0e+07,2.5e+08,5.8e+07,3.0e+08,6.2e+07,46.6,12.0,110.3,12.8,99.5,11.30,1.16,1.00,0.90,0.92,AM0704-582,106.32250,-58.52028
LVHIS026,9.6e+07,3.8e+07,1.2e+08,2.5e+07,2.1e+08,4.5e+07,43.0,8.7,107.3,10.3,78.1,9.30,0.81,1.00,0.21,0.69,ESO059-G001,112.82583,-68.18778
LVHIS029,8.4e+07,3.1e+07,1.4e+08,2.2e+07,2.3e+08,3.8e+07,19.8,13.3,75.4,7.2,54.8,8.40,0.96,0.99,0.05,0.06,ESO318-G013,161.92458,-38.85417
LVHIS030,4.0e+07,1.6e+07,9.4e+08,2.0e+08,9.8e+08,2.0e+08,27.8,38.0,269.1,26.7,259.3,25.90,0.52,0.99,0.96,0.96,ESO215-G009,164.37583,-48.18389
LVHIS055,7.6e+07,2.9e+07,4.9e+07,1.0e+07,1.2e+08,3.1e+07,17.8,3.6,109.8,10.7,54.2,9.80,0.20,0.99,0.74,0.83,NGC5237,204.41273,-42.84692
LVHIS060,1.7e+07,7.5e+06,9.5e+07,2.6e+07,1.1e+08,2.7e+07,18.7,10.4,45.7,6.8,41.5,6.10,1.00,0.99,0.29,0.45,ESO325-G011,206.25292,-41.86028
