Name,Mass,e_Mass,j,e_j,fgas,e_fgas,Dist,e_Dist,HT,c(lM-lfgas),c(lM-lj),c(lfgas-lj)
CVIDWA,5.31e+07,9.35e+06,10.1,3.5,0.86,0.04,3.60,0.17,10,0.00,0.25,0.00
DDO064,2.42e+08,1.50e+08,71.3,25.1,0.75,0.05,6.80,2.04,10,0.00,0.98,0.00
DDO101,2.11e+07,3.12e+07,63.6,50.6,0.26,0.05,6.40,4.72,10,0.00,0.99,0.00
DDO126,1.45e+08,3.14e+07,62.5,8.3,0.81,0.04,4.90,0.38,10,0.00,0.94,0.00
DDO133,1.16e+08,7.70e+07,64.8,26.0,0.73,0.06,3.50,1.13,10,0.00,0.97,0.00
DDO154,2.65e+08,4.09e+07,154.0,8.5,0.95,0.01,3.70,0.07,10,0.00,0.91,0.00
DDO168,2.71e+08,5.20e+07,108.5,12.8,0.76,0.05,4.30,0.26,10,-0.01,0.92,0.00
DDO190,5.35e+07,8.18e+06,27.3,3.3,0.59,0.07,2.79,0.04,10,0.00,0.21,0.00
DDO210,1.68e+06,2.95e+05,1.2,1.3,0.77,0.05,0.90,0.04,10,0.00,0.83,0.00
DDO50,7.19e+08,1.34e+08,142.4,27.7,0.80,0.05,3.40,0.19,10,0.00,0.58,0.00
KK251,1.14e+08,7.03e+07,45.2,16.9,0.73,0.06,6.80,2.04,10,0.00,0.98,0.00
LVHIS009,5.10e+08,1.29e+08,146.3,26.1,0.78,0.07,4.43,0.45,10,0.00,0.80,0.00
LVHIS012,1.24e+09,1.91e+08,300.1,12.6,0.53,0.10,5.76,0.10,9,0.00,0.72,0.00
LVHIS025,2.47e+08,5.85e+07,110.3,12.8,0.83,0.06,4.90,0.45,9,0.00,0.92,0.00
LVHIS030,9.40e+08,2.04e+08,269.1,26.7,0.96,0.02,5.25,0.41,10,0.00,0.69,0.00
LVHIS072,4.02e+08,8.50e+07,223.1,22.1,0.46,0.10,3.09,0.23,6,0.00,0.97,0.00
LVHIS080,3.00e+08,7.99e+07,107.7,15.5,0.68,0.09,4.72,0.52,9,0.00,0.97,0.00
NGC0055,1.97e+09,3.12e+08,429.3,20.2,0.46,0.07,1.98,0.05,9,0.00,0.65,0.00
NGC0224,6.63e+09,1.05e+09,3923.0,98.1,0.11,0.03,0.76,0.02,2,0.00,0.98,0.00
NGC0247,2.64e+09,4.18e+08,747.0,23.9,0.43,0.07,3.51,0.09,7,0.00,0.94,0.00
NGC0253,1.53e+09,2.56e+08,1480.0,54.5,0.03,0.01,3.56,0.13,2,0.00,0.98,0.00
NGC0300,1.90e+09,3.02e+08,667.7,64.1,0.46,0.07,1.97,0.05,7,0.00,0.24,0.00
NGC0891,4.99e+09,9.02e+08,2412.0,131.9,0.07,0.02,9.91,0.50,3,0.00,0.99,0.00
NGC1365,1.64e+10,2.87e+09,4786.0,729.4,0.16,0.04,17.70,0.81,3,0.00,0.24,0.00
NGC1569,1.50e+08,2.71e+07,36.7,16.2,0.19,0.04,3.40,0.17,10,0.00,0.75,0.00
NGC2366,7.19e+08,1.56e+08,164.3,21.1,0.85,0.04,3.40,0.27,10,0.00,0.91,0.00
NGC2403,4.25e+09,7.69e+08,1130.0,71.1,0.46,0.07,3.16,0.16,6,0.00,0.87,0.00
NGC2541,6.69e+08,1.14e+08,731.2,42.6,0.18,0.04,11.50,0.47,5,0.00,0.75,0.00
NGC2903,3.52e+09,2.18e+09,2178.0,628.5,0.08,0.02,6.60,1.98,4,0.00,0.99,0.00
NGC2998,2.06e+10,6.89e+09,4814.0,758.8,0.21,0.05,68.10,10.20,5,0.00,0.98,0.00
NGC3031,2.84e+09,4.49e+08,2271.0,130.8,0.07,0.02,3.61,0.09,3,0.01,0.42,0.00
NGC3198,1.24e+10,2.13e+09,3024.0,133.3,0.40,0.07,13.80,1.40,5,0.01,0.99,0.01
NGC3319,8.78e+08,1.50e+08,922.5,63.6,0.16,0.04,13.00,0.53,5,0.01,0.65,0.01
NGC3351,4.48e+09,7.14e+08,1847.0,153.0,0.16,0.04,10.40,0.28,3,0.00,0.38,0.00
NGC3370,3.24e+09,5.17e+08,1430.0,93.3,0.16,0.04,26.10,0.72,5,0.00,0.40,0.00
NGC3521,5.73e+09,3.53e+09,1948.0,612.3,0.12,0.03,7.70,2.30,4,0.00,0.99,0.00
NGC3627,2.41e+09,3.93e+08,1064.0,64.5,0.06,0.02,9.03,0.29,2,0.01,0.49,0.00
NGC3726,9.42e+09,2.97e+09,2131.0,335.6,0.21,0.05,18.00,2.50,5,0.00,0.97,0.00
NGC3741,1.37e+08,2.52e+07,91.9,8.8,0.91,0.02,3.21,0.17,10,0.00,0.89,0.00
NGC3769,6.68e+09,2.11e+09,1743.0,261.8,0.45,0.07,18.00,2.50,3,0.01,0.99,0.01
NGC3877,1.59e+09,5.01e+08,1084.0,159.7,0.05,0.01,18.00,2.50,5,0.00,0.99,0.00
NGC3917,2.21e+09,6.97e+08,1128.0,165.2,0.17,0.04,18.00,2.50,6,0.00,0.99,0.00
NGC3953,2.99e+09,9.44e+08,2370.0,329.1,0.05,0.01,18.00,2.50,4,0.00,0.99,0.00
NGC3972,1.26e+09,3.96e+08,643.1,100.5,0.16,0.04,18.00,2.50,4,-0.01,0.99,-0.01
NGC3992,2.53e+10,6.21e+09,6072.0,556.6,0.21,0.05,23.70,2.30,4,0.00,0.96,0.00
NGC4010,2.27e+09,7.16e+08,718.1,111.8,0.22,0.05,18.00,2.50,7,0.00,0.99,0.00
NGC4013,4.25e+09,1.34e+09,2527.0,316.9,0.12,0.03,18.00,2.50,3,0.00,0.99,0.00
NGC4051,2.80e+09,8.84e+08,1232.0,192.8,0.08,0.02,18.00,2.50,4,0.00,0.94,0.00
NGC4088,9.50e+09,3.00e+09,1873.0,270.1,0.15,0.04,18.00,2.50,4,0.00,0.99,0.00
NGC4100,4.08e+09,1.29e+09,2103.0,260.1,0.13,0.03,18.00,2.50,4,0.00,0.99,0.00
NGC4157,1.05e+10,3.32e+09,2483.0,355.9,0.17,0.04,18.00,2.50,3,0.00,0.99,0.00
NGC4183,4.55e+09,1.44e+09,1053.0,159.3,0.46,0.07,18.00,2.50,6,0.00,0.99,0.00
NGC4190,4.35e+07,7.46e+06,21.2,2.7,0.46,0.07,2.89,0.12,10,0.00,0.70,0.00
NGC4258,5.97e+09,9.34e+08,3335.0,93.1,0.12,0.03,7.31,0.16,2,0.00,0.78,0.00
NGC4535,4.75e+09,8.45e+08,2168.0,240.4,0.10,0.03,16.10,0.77,5,0.00,0.42,0.00
NGC4536,4.11e+09,7.03e+08,1586.0,79.7,0.16,0.04,14.60,0.60,5,0.00,0.82,0.00
NGC4639,1.70e+09,2.78e+08,1394.0,70.2,0.09,0.02,22.00,0.71,3,0.01,0.63,0.00
NGC4725,3.51e+09,5.86e+08,3568.0,269.9,0.06,0.02,12.50,0.46,2,0.00,0.44,0.00
NGC5584,2.28e+09,3.73e+08,1022.0,82.8,0.17,0.04,22.40,0.72,2,0.00,0.40,0.00
NGC6946,8.22e+09,5.09e+09,1840.0,536.0,0.20,0.05,5.52,1.66,6,0.00,0.98,0.00
NGC7793,1.47e+09,2.38e+08,459.9,23.2,0.31,0.06,3.58,0.11,7,0.00,0.56,0.00
NGC7814,1.38e+09,2.42e+08,2500.0,137.1,0.03,0.01,14.40,0.66,2,0.00,0.99,0.00
UGC00731,2.12e+09,1.31e+09,448.1,143.3,0.93,0.02,12.50,3.75,10,0.00,0.99,0.00
UGC02487,2.26e+10,7.61e+09,14940.0,2728.0,0.11,0.03,69.10,10.40,0,0.00,0.77,0.00
UGC02953,1.07e+10,6.63e+09,8044.0,2402.0,0.07,0.02,16.50,4.95,2,0.00,0.98,0.00
UGC03546,3.64e+09,1.90e+09,2804.0,788.0,0.08,0.02,28.70,7.20,1,0.00,0.97,0.00
UGC04278,1.13e+09,6.96e+08,384.1,137.6,0.64,0.07,9.51,2.85,7,0.00,0.99,0.00
UGC04305,7.12e+08,1.28e+08,112.8,27.5,0.65,0.06,3.45,0.17,10,-0.01,0.20,0.00
UGC04325,7.72e+08,4.78e+08,291.2,90.1,0.44,0.07,9.60,2.88,9,0.00,0.98,0.00
UGC04499,1.28e+09,7.89e+08,315.7,101.9,0.63,0.07,12.50,3.75,8,0.00,0.98,0.00
UGC05721,6.47e+08,3.99e+08,264.8,83.9,0.70,0.06,6.18,1.85,7,0.00,0.98,0.00
UGC05829,1.19e+09,7.35e+08,246.8,124.1,0.82,0.04,8.64,2.59,10,0.00,0.74,0.00
UGC06446,7.53e+08,4.66e+08,456.4,144.4,0.61,0.07,12.00,3.60,7,0.00,0.98,0.00
UGC06667,7.99e+08,2.52e+08,360.3,55.5,0.64,0.07,18.00,2.50,6,0.00,0.99,0.00
UGC06787,6.40e+09,3.34e+09,4675.0,1215.0,0.10,0.03,21.30,5.32,2,0.00,0.99,0.00
UGC06930,4.14e+09,1.31e+09,970.2,201.9,0.49,0.07,18.00,2.50,7,0.01,0.69,0.01
UGC06983,3.72e+09,1.18e+09,959.2,146.7,0.60,0.07,18.00,2.50,6,0.00,0.98,0.00
UGC07125,4.47e+09,2.74e+09,669.8,206.3,0.76,0.05,19.80,5.90,9,0.00,0.99,0.00
UGC07323,7.40e+08,4.58e+08,283.3,99.8,0.29,0.06,8.00,2.40,8,0.00,0.98,0.00
UGC07524,1.94e+09,3.51e+08,490.2,43.8,0.62,0.07,4.74,0.24,9,0.00,0.70,0.00
