Name,Hubble_type,Distance_Mpc,Distance_err_Mpc,log_Mstar,log_jH2,log_jH2_err,log_MH2,log_MH2_err,R
IC 1954,Sb,12.80,2.17,9.67,2.29,0.07,8.65,0.15,0.98
IC 5273,SBc,14.18,2.14,9.73,2.48,0.39,8.57,0.36,0.88
NGC 253,SABc,3.70,0.12,10.64,2.77,0.36,9.53,0.29,1.00
NGC 300,Scd,2.09,0.09,9.27,2.05,0.05,7.67,0.06,1.00
NGC 628,Sc,9.84,0.63,10.34,2.84,0.07,9.41,0.08,0.79
NGC 1087,Sc,15.85,2.22,9.94,2.51,0.06,8.99,0.12,0.92
NGC 1097,SBb,13.58,2.05,10.76,3.04,0.13,9.62,0.11,0.85
NGC 1300,Sbc,18.99,2.86,10.62,3.09,0.08,9.23,0.14,0.74
NGC 1317,SABa,19.11,0.85,10.62,2.12,0.06,8.78,0.08,0.98
NGC 1365,Sb,19.57,0.78,11.00,3.17,0.23,10.14,0.18,1.00
NGC 1385,Sc,17.22,2.60,9.98,2.47,0.06,9.11,0.13,1.00
NGC 1511,Sab,15.28,2.26,9.92,2.60,0.06,9.07,0.13,0.77
NGC 1546,S0-a,17.69,2.02,10.37,2.49,0.05,9.23,0.1,0.95
NGC 1559,SBc,19.44,0.45,10.37,2.84,0.01,9.54,0.02,0.72
NGC 1566,SABb,17.69,2.02,10.79,3.00,0.05,9.69,0.1,0.93
NGC 1792,Sbc,16.20,2.44,10.62,2.83,0.06,9.76,0.14,0.89
NGC 2090,Sbc,11.75,0.84,10.04,2.42,0.03,8.47,0.09,0.97
NGC 2283,Sc,13.68,2.06,9.89,2.44,0.07,8.55,0.14,0.71
NGC 2835,Sc,12.22,0.93,10.00,2.42,0.06,8.42,0.12,0.79
NGC 2903,Sbc,10.00,1.99,10.64,3.04,0.08,9.53,0.17,1.00
NGC 2997,SABc,14.06,2.80,10.73,3.16,0.1,9.80,0.19,0.72
NGC 3059,SBbc,20.23,4.04,10.38,2.65,0.08,9.36,0.18,0.81
NGC 3137,SABc,16.37,2.34,9.88,2.48,0.07,8.45,0.13,0.88
NGC 3351,Sb,9.96,0.33,10.37,2.88,0.04,9.03,0.06,1.00
NGC 3507,SBb,23.55,3.99,10.40,2.93,0.08,9.17,0.15,0.73
NGC 3511,SABc,13.94,2.10,10.03,2.70,0.06,8.99,0.13,0.77
NGC 3521,SABb,13.24,1.96,11.00,3.12,0.06,9.75,0.13,1.00
NGC 3596,SABc,11.30,1.03,9.66,2.32,0.07,8.61,0.12,0.91
NGC 3621,SBcd,7.06,0.28,10.06,2.68,0.06,9.06,0.06,1.00
NGC 3626,S0-a,20.05,2.34,10.46,2.28,0.05,8.35,0.14,0.98
NGC 3627,S0-a,11.32,0.48,10.84,3.02,0.06,9.78,0.13,0.98
NGC 4254,Sc,13.10,2.01,10.42,2.90,0.07,9.80,0.13,0.97
NGC 4293,S0-a,15.76,2.38,10.52,2.21,0.08,8.63,0.15,0.79
NGC 4298,Sc,14.92,1.36,10.04,2.55,0.05,9.10,0.09,0.96
NGC 4303,Sbc,16.99,3.02,10.51,2.91,0.08,9.78,0.16,0.81
NGC 4457,S0-a,15.10,2.00,10.42,2.41,0.08,8.82,0.16,0.72
NGC 4496A,Scd,14.86,1.06,9.55,2.28,0.09,8.38,0.11,0.71
NGC 4535,Sc,15.77,0.37,10.54,3.06,0.04,9.44,0.06,0.98
NGC 4536,SABb,16.25,1.12,10.40,2.82,0.08,9.33,0.1,0.99
NGC 4540,SABc,15.76,2.38,9.79,2.23,0.08,8.50,0.15,0.89
NGC 4689,Sc,15.00,2.26,10.24,2.50,0.07,9.04,0.14,0.92
NGC 4781,Scd,11.31,1.18,9.54,2.34,0.06,8.69,0.12,0.99
NGC 4941,SABa,15.00,5.00,10.18,2.55,0.19,8.37,0.41,0.99
NGC 4951,SABc,15.00,4.19,9.79,2.36,0.12,8.40,0.25,0.94
NGC 5042,SABc,16.78,2.53,9.90,2.53,0.08,8.52,0.15,0.79
NGC 5134,SABb,19.92,2.69,10.41,2.58,0.08,8.76,0.13,0.80
NGC 5248,SABb,14.87,1.32,10.41,2.83,0.05,9.50,0.08,0.72
NGC 5530,SABb,12.27,1.85,10.08,2.52,0.07,8.77,0.14,0.89
NGC 5643,Sc,12.68,0.54,10.34,2.80,0.03,9.41,0.05,0.88
NGC 6300,SBb,11.58,1.75,10.47,2.74,0.06,9.25,0.13,0.88
NGC 7793,Scd,3.62,0.15,9.36,2.22,0.09,8.18,0.12,1.00
