Name,logMstar,e_logMstar,jstar,e_jstar
CVIDWA,6.59,0.21,10.07,2.45
DDO52,7.93,0.17,81.16,6.31
DDO87,7.81,0.16,84.47,6.0
DDO126,7.40,0.19,49.14,4.92
DDO133,8.12,0.17,61.4,4.17
DDO154,7.06,0.18,27.0,2.48
DDO168,7.92,0.17,74.64,4.91
DDO181,6.85,0.21,16.5,2.95
DDO183,6.86,0.21,11.74,8.1
DDO190,7.43,0.19,27.23,2.59
DDO210,5.42,0.23,3.74,3.06
IC2574,8.93,0.13,239.25,10.55
LVHIS009,8.14,0.16,115.96,12.04
LVHIS011,8.14,0.11,100.96,8.23
LVHIS012,8.48,0.14,267.73,13.95
LVHIS017,8.21,0.15,74.95,7.84
LVHIS019,7.46,0.16,17.25,4.35
LVHIS020,8.19,0.14,87.26,14.6
LVHIS026,7.93,0.15,45.45,6.34
LVHIS055,8.14,0.12,18.25,3.84
LVHIS060,7.12,0.19,13.04,4.33
LVHIS072,8.47,0.11,91.05,6.16
LVHIS077,8.86,0.15,243.79,11.1
LVHIS078,8.22,0.12,32.96,2.45
LVHIS080,7.55,0.19,48.37,6.31
NGC0253,10.72,0.05,852.32,36.9
NGC0925,9.67,0.13,636.62,22.36
NGC1313,9.61,0.09,298.22,14.82
NGC2366,8.00,0.16,139.74,6.34
NGC2403,9.75,0.09,429.85,15.7
NGC2541,9.61,0.07,515.12,19.12
NGC2841,11.24,0.03,2716.72,69.17
NGC3198,10.22,0.07,816.56,33.41
NGC3351,10.57,0.04,999.57,29.14
NGC3621,10.04,0.08,616.88,32.1
NGC3992,11.23,0.06,3822.4,133.52
NGC4190,7.49,0.16,17.38,1.89
NGC4535,10.83,0.05,1830.92,55.32
NGC4536,10.47,0.06,1162.33,44.18
NGC4559,9.93,0.09,426.77,37.26
NGC4651,10.63,0.05,942.81,47.27
NGC4725,10.97,0.06,2453.63,79.59
NGC4736,10.13,0.04,318.2,13.49
NGC5005,11.00,0.04,1330.82,51.43
NGC5055,10.75,0.03,1084.91,51.52
NGC7793,9.55,0.09,339.03,18.22
UGC1501,8.37,0.16,83.65,6.76
UGC8508,6.67,0.20,14.38,1.99
WLM,6.58,0.20,21.38,1.64
