Name,Mass,e_Mass,j,e_j,fgas,e_fgas,Dist,e_Dist,HT,c(lM-lfgas),c(lM-lj),c(lfgas-lj)
DDO064,7.90e+07,5.10e+07,41.3,21.6,0.75,0.05,6.80,2.04,10,0.05,0.88,0.01
DDO101,5.96e+07,8.92e+07,47.9,47.8,0.26,0.05,6.40,4.72,10,0.02,0.93,0.00
DDO126,3.33e+07,9.56e+06,39.5,19.8,0.81,0.04,4.90,0.38,10,0.16,0.49,0.00
DDO133,4.25e+07,2.93e+07,48.7,23.7,0.73,0.06,3.50,1.13,10,0.03,0.87,0.01
DDO154,1.46e+07,3.54e+06,31.8,16.1,0.95,0.01,3.70,0.07,10,0.39,0.14,0.00
DDO168,8.38e+07,2.25e+07,64.3,14.0,0.76,0.05,4.30,0.26,10,0.26,0.40,0.00
DDO50,1.80e+08,4.76e+07,58.0,26.2,0.80,0.05,3.40,0.19,10,0.23,0.23,0.00
DDO52,8.77e+07,2.26e+07,66.3,12.8,0.74,0.06,10.30,0.47,10,0.43,0.26,0.01
LVHIS009,1.44e+08,5.96e+07,55.7,25.3,0.78,0.07,4.43,0.45,10,0.26,0.39,0.00
LVHIS012,1.11e+09,4.03e+08,161.5,18.1,0.53,0.10,5.76,0.10,9,0.86,0.07,0.00
LVHIS020,3.37e+08,1.22e+08,96.3,17.1,0.61,0.09,9.02,0.16,10,0.74,0.06,0.00
LVHIS025,5.04e+07,2.05e+07,46.6,12.0,0.83,0.06,4.90,0.45,9,0.25,0.42,0.00
LVHIS026,9.56e+07,3.77e+07,43.0,8.7,0.55,0.10,4.57,0.36,10,0.56,0.35,-0.01
LVHIS029,8.40e+07,3.07e+07,19.8,13.3,0.63,0.09,6.92,0.16,7,0.84,0.07,0.00
LVHIS030,3.98e+07,1.57e+07,27.8,38.0,0.96,0.02,5.25,0.41,10,0.10,0.27,0.00
LVHIS055,7.55e+07,2.92e+07,17.8,3.6,0.40,0.09,3.40,0.23,10,0.81,0.28,0.00
LVHIS060,1.74e+07,7.46e+06,18.7,10.4,0.84,0.05,3.40,0.39,10,0.20,0.50,0.01
LVHIS065,1.54e+08,6.08e+07,20.4,10.7,0.68,0.08,4.81,0.38,10,0.66,0.37,0.01
LVHIS072,4.66e+08,1.82e+08,91.4,13.2,0.46,0.10,3.09,0.23,6,0.64,0.37,0.00
LVHIS074,2.53e+08,9.91e+07,64.3,8.2,0.68,0.09,6.40,0.48,5,0.56,0.36,0.00
LVHIS078,1.62e+08,6.41e+07,31.0,4.4,0.43,0.10,1.97,0.16,10,0.54,0.34,0.00
LVHIS080,1.44e+08,6.10e+07,52.9,16.1,0.68,0.09,4.72,0.52,9,0.32,0.51,0.00
NGC0055,2.29e+09,6.17e+08,263.9,61.1,0.46,0.07,1.98,0.05,9,0.57,0.13,0.00
NGC0247,3.54e+09,9.57e+08,489.9,61.6,0.43,0.07,3.51,0.09,7,0.65,0.20,0.00
NGC0253,5.39e+10,1.48e+10,976.0,55.3,0.03,0.01,3.56,0.13,2,0.10,0.27,0.00
NGC0300,2.23e+09,6.02e+08,226.5,37.3,0.46,0.07,1.97,0.05,7,0.46,0.05,0.00
NGC0891,6.45e+10,1.68e+10,867.6,63.6,0.07,0.02,9.91,0.50,3,0.46,0.37,0.00
NGC0925,8.90e+09,2.43e+09,530.8,73.6,0.24,0.05,8.91,0.28,7,0.44,0.13,0.00
NGC1003,3.34e+09,2.16e+09,296.4,108.1,0.58,0.07,11.40,3.42,6,0.18,0.88,0.00
NGC1365,8.58e+10,2.41e+10,2364.0,666.9,0.16,0.04,17.70,0.81,3,0.15,0.08,0.00
NGC2366,1.30e+08,3.72e+07,111.8,35.9,0.85,0.04,3.40,0.27,10,0.11,0.48,0.01
