# slope intercept sigma lnLike
-4.562391585581618836e-01 2.089360094465012030e-01 3.302090077665218448e-01 -2.143947426132928058e+01
-2.181598637099313454e-01 1.769846080673292410e-01 2.735355947519708120e-01 -2.205162387529118462e+01
-4.092161388889933860e-01 1.301294229813551029e-01 3.278824244257071974e-01 -2.209764661427044885e+01
-6.355839217465195645e-01 1.527092576701567783e-01 3.063164885433166673e-01 -2.080245976250105500e+01
-4.050562541021803242e-01 1.874690222281756857e-01 2.998340336682608354e-01 -2.037756421544478513e+01
-5.247740113510430682e-01 1.898356350488068500e-01 2.853301169479151578e-01 -1.996689404878731722e+01
-6.228482520663605193e-01 1.777344494870179425e-01 3.005932001828569566e-01 -2.027754746928503593e+01
-4.987735280012272621e-01 1.599025795311254383e-01 2.711304084001829873e-01 -2.048874841190053431e+01
-6.604421294521543029e-01 2.080441321842282643e-01 2.914128944155358614e-01 -2.049176933029279013e+01
-6.560431548999305917e-01 1.699849495686742151e-01 2.905033625438243061e-01 -2.040011431121817509e+01
-5.962878831473645835e-01 1.852481082126695155e-01 3.033225872218502372e-01 -2.023253665117431410e+01
-1.912516726546833468e-01 9.229007800958567709e-02 3.534543676551125113e-01 -2.603528327754525407e+01
-3.443561443566728331e-01 2.085696444952023498e-01 2.953382678095377578e-01 -2.089716067928218379e+01
-5.557663106170828149e-01 1.410897879658972731e-01 2.792054410956445465e-01 -2.094017138046629967e+01
-2.794380555277214406e-01 2.559207801577372265e-01 3.293505698313590746e-01 -2.392443692454688886e+01
-3.427806451564287538e-01 1.267562481700038601e-01 3.008143809233667088e-01 -2.194725063943017318e+01
-7.252897791847658926e-01 1.710116061689198608e-01 2.864548945945261105e-01 -2.083963314913114928e+01
-5.388968748397499064e-01 1.289091809467498573e-01 2.937443068295628179e-01 -2.128199660548231620e+01
-4.472294345352332279e-01 2.034676424302105380e-01 3.054073260072617813e-01 -2.048036789686582893e+01
-6.010316739401445618e-01 2.551600779788889550e-01 3.304426076934272039e-01 -2.282038963347032379e+01
-6.199391062803754071e-01 1.773225754736771353e-01 2.785277552592183570e-01 -2.023492161448732674e+01
-7.078157249696446218e-01 1.909272005968803976e-01 3.045643221368628528e-01 -2.072821994068576146e+01
-4.313251845180597899e-01 1.723293475546030795e-01 2.759824421586765109e-01 -2.029484923075790093e+01
-3.942797962618708740e-01 1.511511148787411107e-01 2.665868077954345328e-01 -2.121622453722721957e+01
-2.479828926846043280e-01 8.867800220025236213e-02 3.494383933374997087e-01 -2.559287415316979519e+01
-6.542505827084141856e-01 1.819990006001619975e-01 3.120904856969514141e-01 -2.063318622960176185e+01
-2.264498584915705104e-01 1.899948478533686480e-01 2.757413124608016908e-01 -2.187748658649994127e+01
-2.737861933839746964e-01 2.081202179648858341e-01 3.038689218947626114e-01 -2.158688667511491133e+01
-5.472351293805268746e-01 1.382059032935060161e-01 2.862385170813854796e-01 -2.093642330881347746e+01
-3.991831886069177604e-01 1.479998712602741961e-01 2.928009047435831125e-01 -2.083410676044309895e+01
-4.025246388428320166e-01 1.637915480881474706e-01 3.557870775633653060e-01 -2.282834099486478507e+01
-3.388405414323362175e-01 1.827573762923848100e-01 2.730158483163276917e-01 -2.079960158589939923e+01
-7.352406125418535776e-01 1.464035192502869398e-01 2.918265897508090512e-01 -2.146333932316381521e+01
-4.308906605493759701e-01 2.252414110018909066e-01 2.997791493293844312e-01 -2.092453008270920733e+01
-4.212521797819861469e-01 1.559287084761092901e-01 2.950017918673389361e-01 -2.054960183742102231e+01
-5.419422643796352190e-01 1.672398343885860283e-01 3.367991933301029417e-01 -2.148620702126341087e+01
-6.064816368692914628e-01 1.230800645039318297e-01 2.825312873164249616e-01 -2.186237504671041165e+01
-7.025996690467588568e-01 1.803990616042276396e-01 3.472917861475237622e-01 -2.233210766292543070e+01
