j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
122.03938207443193,122.0591512946466,0.09452199887397648,290.0004193933685,104.52791990704692
244.07876414886385,244.0908961061431,0.1514242426587547,512.9942362636824,196.10639468773837
366.1181462232958,366.11534763735773,0.20612622408091946,703.4911738475174,278.5170325621799
488.1575282977277,488.1326008868935,0.2601678678036817,872.7340659672423,352.88442934954963
610.1969103721597,610.1451809499778,0.3135793264606042,1026.2502675133114,420.0548211877103
732.2362924465916,732.1543496406337,0.36600240596697325,1167.4901815914268,480.8379986052007
854.2756745210236,854.1579275775,0.41696643972208486,1299.0274204842563,536.0018877950231
976.3150565954555,976.1497731226126,0.4659772700128029,1423.0441197360035,586.1989415839334
1098.3544386698875,1098.129113156021,0.5126052443263176,1541.3916867640107,631.9387875523496
1220.3938207443193,1220.1016329306785,0.5565984240682614,1655.3723556059201,673.709803413613
