j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
602.5595860743574,602.917251710247,0.030330455567276395,1774.8095448701797,566.261437024312
1205.1191721487148,1205.6257206317973,0.07125598862155398,2859.838937788467,1078.7095879458996
1807.6787582230722,1808.3382965053565,0.11846263610829372,3805.3228553878002,1539.9797846569195
2410.2383442974296,2410.951298446398,0.16868146210193996,4658.578799297575,1954.8889398916117
3012.797930371787,3013.322821615644,0.21991732817205425,5441.08661704333,2328.898789900887
3615.3575164461445,3614.239935326071,0.27091213065901065,6163.8360300422855,2666.8692007618147
4217.917102520501,4210.3487912730225,0.3207376584656419,6829.868458938165,2973.450242453476
4820.476688594859,4795.337410150171,0.36872856410155685,7437.526328546783,3252.0226479689118
5423.036274669217,5361.6809362238,0.4143908403900728,7984.719863693347,3505.556782950644
6025.595860743574,5902.52707656196,0.45735722397170847,8471.385931536506,3737.408131672428
